ts,date,nav,cash,open_positions,watching,realized_pnl
1784884586,2026-07-24,9997.01,9000.00,2,4,0.00
1784885332,2026-07-24,9959.76,9000.00,2,4,0.00
1784893724,2026-07-24,10034.14,9423.73,1,0,-76.27
1784901804,2026-07-24,10171.48,10171.48,0,1,171.48
1784907416,2026-07-24,10171.48,10171.48,0,1,171.48
1784915112,2026-07-24,10171.48,10171.48,0,1,171.48
1784917247,2026-07-24,10171.48,10171.48,0,1,171.48
1784920195,2026-07-24,10171.48,10171.48,0,1,171.48
1784922077,2026-07-24,10171.48,10171.48,0,1,171.48
1784927628,2026-07-24,10171.48,10171.48,0,1,171.48
1784931460,2026-07-24,10171.48,10171.48,0,1,171.48
1784938333,2026-07-25,10171.48,10171.48,0,1,171.48
1784953133,2026-07-25,10171.48,10171.48,0,1,171.48
1784964273,2026-07-25,10171.48,10171.48,0,1,171.48
