ts,date,nav,cash,open_positions,watching,realized_pnl
1784926323,2026-07-24,10000.00,10000.00,0,60,0.00
1784926734,2026-07-24,10000.00,10000.00,0,100,0.00
1784928256,2026-07-24,10000.00,10000.00,0,140,0.00
1784928268,2026-07-24,10000.00,10000.00,0,140,0.00
1784928314,2026-07-24,10000.00,10000.00,0,140,0.00
1784932183,2026-07-24,10000.00,10000.00,0,181,0.00
1784932722,2026-07-24,10000.00,10000.00,0,266,0.00
1784934200,2026-07-24,10000.00,10000.00,0,368,0.00
1784936186,2026-07-24,10000.00,10000.00,0,474,0.00
1784939655,2026-07-25,10000.00,10000.00,0,573,0.00
1784941880,2026-07-25,10000.00,10000.00,0,656,0.00
1784953782,2026-07-25,10000.00,10000.00,0,732,0.00
1784962674,2026-07-25,10001.41,9900.00,1,600,0.00
1784970366,2026-07-25,10001.41,9900.00,1,374,0.00
1784976276,2026-07-25,9971.94,9971.94,0,388,-28.06
1784980358,2026-07-25,9971.94,9971.94,0,475,-28.06
1784986657,2026-07-25,9971.94,9971.94,0,493,-28.06
1784990956,2026-07-25,9971.94,9971.94,0,591,-28.06
1784995523,2026-07-25,9971.94,9971.94,0,552,-28.06
1784999765,2026-07-25,9971.94,9971.94,0,574,-28.06
1785004027,2026-07-25,9971.94,9971.94,0,664,-28.06
1785008752,2026-07-25,9971.13,9871.94,1,656,-28.06
1785012904,2026-07-25,9971.13,9871.94,1,647,-28.06
1785016672,2026-07-25,9937.95,9937.95,0,671,-62.05
1785020533,2026-07-25,9937.95,9937.95,0,655,-62.05
1785024842,2026-07-26,9937.95,9937.95,0,649,-62.05
1785038524,2026-07-26,9937.95,9937.95,0,448,-62.05
