[23:12:07] === 2QKtLGvQ 高密度崩盘取证监控启动 ===
[23:12:10] 基线: 价格$0.00005028 流动性$40,502
[23:13:11] 价格$0.00002483  流动性$19,977(峰值$40,502)  已存档111笔逐笔  操盘方卖出比例=100.0%
[23:14:11] 价格$0.00002483  流动性$19,977(峰值$40,502)  已存档111笔逐笔
[23:15:12] 价格$0.00002483  流动性$19,977(峰值$40,502)  已存档111笔逐笔
[23:16:12] 价格$0.00002483  流动性$19,977(峰值$40,502)  已存档111笔逐笔
[23:17:12] 价格$0.00002483  流动性$19,977(峰值$40,502)  已存档111笔逐笔
[23:18:14] 价格$0.00002483  流动性$19,977(峰值$40,502)  已存档111笔逐笔  操盘方卖出比例=100.0%
[23:19:14] 价格$0.00002483  流动性$20,030(峰值$40,502)  已存档111笔逐笔
[23:20:14] 价格$0.00002483  流动性$20,030(峰值$40,502)  已存档111笔逐笔
[23:21:15] 价格$0.00002483  流动性$20,030(峰值$40,502)  已存档111笔逐笔
[23:22:15] 价格$0.00002483  流动性$20,030(峰值$40,502)  已存档111笔逐笔
[23:23:15] 价格$0.00002483  流动性$20,030(峰值$40,502)  已存档112笔逐笔  操盘方卖出比例=100.0%
[23:24:16] 价格$0.00003976  流动性$31,935(峰值$40,502)  已存档121笔逐笔
[23:25:16] 价格$0.00002015  流动性$16,218(峰值$40,502)  已存档129笔逐笔
[23:26:16] 价格$0.00001553  流动性$12,500(峰值$40,502)  已存档131笔逐笔
[23:27:16] 价格$0.00001553  流动性$12,500(峰值$40,502)  已存档134笔逐笔
[23:28:17] 价格$0.00001558  流动性$12,500(峰值$40,502)  已存档134笔逐笔  操盘方卖出比例=100.0%
[23:29:17] 价格$0.00001558  流动性$12,500(峰值$40,502)  已存档147笔逐笔
[23:30:18] 价格$0.00002209  流动性$17,710(峰值$40,502)  已存档147笔逐笔
[23:31:18] 价格$0.00002209  流动性$17,710(峰值$40,502)  已存档147笔逐笔
[23:32:18] 价格$0.00002209  流动性$17,710(峰值$40,502)  已存档147笔逐笔
[23:33:19] 价格$0.00002209  流动性$17,710(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[23:34:19] 价格$0.00002209  流动性$17,720(峰值$40,502)  已存档147笔逐笔
[23:35:19] 价格$0.00002209  流动性$17,720(峰值$40,502)  已存档147笔逐笔
[23:36:20] 价格$0.00002209  流动性$17,720(峰值$40,502)  已存档147笔逐笔
[23:37:20] 价格$0.00002209  流动性$17,720(峰值$40,502)  已存档147笔逐笔
[23:38:20] 价格$0.00002209  流动性$17,720(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[23:39:21] 价格$0.00002209  流动性$17,720(峰值$40,502)  已存档147笔逐笔
[23:40:21] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔
[23:41:21] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔
[23:42:22] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔
[23:43:22] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[23:44:23] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔
[23:45:23] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔
[23:46:23] 价格$0.00002209  流动性$17,730(峰值$40,502)  已存档147笔逐笔
[23:47:24] 价格$0.00002209  流动性$17,746(峰值$40,502)  已存档147笔逐笔
[23:48:24] 价格$0.00002209  流动性$17,746(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[23:49:25] 价格$0.00002209  流动性$17,746(峰值$40,502)  已存档147笔逐笔
[23:50:25] 价格$0.00002209  流动性$17,746(峰值$40,502)  已存档147笔逐笔
[23:51:26] 价格$0.00002209  流动性$17,746(峰值$40,502)  已存档147笔逐笔
[23:52:26] 价格$0.00002209  流动性$17,746(峰值$40,502)  已存档147笔逐笔
[23:53:26] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[23:54:26] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
[23:55:27] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
[23:56:27] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
[23:57:27] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
[23:58:28] 价格$0.00002209  流动性$17,733(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[23:59:28] 价格$0.00002209  流动性$17,733(峰值$40,502)  已存档147笔逐笔
[00:00:29] 价格$0.00002209  流动性$17,733(峰值$40,502)  已存档147笔逐笔
[00:01:29] 价格$0.00002209  流动性$17,733(峰值$40,502)  已存档147笔逐笔
[00:02:30] 价格$0.00002209  流动性$17,733(峰值$40,502)  已存档147笔逐笔
[00:03:30] 价格$0.00002209  流动性$17,733(峰值$40,502)  已存档147笔逐笔  操盘方卖出比例=100.0%
[00:04:30] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
[00:05:31] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
[00:06:31] 价格$0.00002209  流动性$17,726(峰值$40,502)  已存档147笔逐笔
