[06:09:33] === 3CyCyaMY 高密度崩盘取证监控启动 ===
[06:09:34] 基线: 价格$0.01915719 流动性$313,457
[06:10:35] 价格$0.01915719  流动性$313,457(峰值$313,457)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:11:35] 价格$0.01953019  流动性$315,606(峰值$315,606)  已存档300笔逐笔
[06:12:36] 价格$0.01967296  流动性$318,003(峰值$318,003)  已存档300笔逐笔
[06:13:36] 价格$0.01975987  流动性$318,478(峰值$318,478)  已存档300笔逐笔
[06:14:37] 价格$0.01975987  流动性$318,478(峰值$318,478)  已存档300笔逐笔
[06:15:37] 价格$0.01998736  流动性$320,330(峰值$320,330)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:16:37] 价格$0.02010531  流动性$321,111(峰值$321,111)  已存档300笔逐笔
[06:17:38] 价格$0.02010531  流动性$321,111(峰值$321,111)  已存档300笔逐笔
[06:18:38] 价格$0.02038062  流动性$323,349(峰值$323,349)  已存档300笔逐笔
[06:19:38] 价格$0.02049396  流动性$324,335(峰值$324,335)  已存档300笔逐笔
[06:20:39] 价格$0.02049396  流动性$324,335(峰值$324,335)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:21:39] 价格$0.02077944  流动性$326,443(峰值$326,443)  已存档300笔逐笔
[06:22:40] 价格$0.02077944  流动性$326,443(峰值$326,443)  已存档300笔逐笔
[06:23:40] 价格$0.02087567  流动性$328,225(峰值$328,225)  已存档300笔逐笔
[06:24:40] 价格$0.02114724  流动性$329,387(峰值$329,387)  已存档300笔逐笔
[06:25:41] 价格$0.02114724  流动性$329,387(峰值$329,387)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:26:42] 价格$0.02135950  流动性$331,425(峰值$331,425)  已存档300笔逐笔
[06:27:42] 价格$0.02145693  流动性$331,981(峰值$331,981)  已存档300笔逐笔
[06:28:42] 价格$0.02163361  流动性$333,354(峰值$333,354)  已存档300笔逐笔
[06:29:43] 价格$0.02175275  流动性$334,308(峰值$334,308)  已存档300笔逐笔
[06:30:44] 价格$0.02175275  流动性$334,308(峰值$334,308)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:31:44] 价格$0.02198607  流动性$336,294(峰值$336,294)  已存档300笔逐笔
[06:32:44] 价格$0.02198607  流动性$336,294(峰值$336,294)  已存档300笔逐笔
[06:33:45] 价格$0.02215827  流动性$338,579(峰值$338,579)  已存档300笔逐笔
[06:34:45] 价格$0.02240204  流动性$339,416(峰值$339,416)  已存档300笔逐笔
[06:35:45] 价格$0.02240204  流动性$339,416(峰值$339,416)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:36:46] 价格$0.02263758  流动性$341,233(峰值$341,233)  已存档300笔逐笔
[06:37:46] 价格$0.02263758  流动性$341,233(峰值$341,233)  已存档300笔逐笔
[06:38:46] 价格$0.02289224  流动性$343,356(峰值$343,356)  已存档300笔逐笔
[06:39:47] 价格$0.02304619  流动性$344,134(峰值$344,134)  已存档300笔逐笔
[06:40:48] 价格$0.02304619  流动性$344,134(峰值$344,134)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:41:48] 价格$0.02331288  流动性$346,007(峰值$346,007)  已存档300笔逐笔
[06:42:48] 价格$0.02333170  流动性$347,510(峰值$347,510)  已存档300笔逐笔
[06:43:49] 价格$0.02333170  流动性$347,510(峰值$347,510)  已存档300笔逐笔
[06:44:49] 价格$0.02377912  流动性$349,984(峰值$349,984)  已存档300笔逐笔
[06:45:50] 价格$0.02377912  流动性$349,984(峰值$349,984)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:46:50] 价格$0.02401555  流动性$351,451(峰值$351,451)  已存档300笔逐笔
[06:47:50] 价格$0.02418877  流动性$352,824(峰值$352,824)  已存档300笔逐笔
[06:48:51] 价格$0.02434909  流动性$354,010(峰值$354,010)  已存档300笔逐笔
[06:49:51] 价格$0.02452023  流动性$355,388(峰值$355,388)  已存档300笔逐笔
[06:50:52] 价格$0.02452023  流动性$355,388(峰值$355,388)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:51:52] 价格$0.02477501  流动性$357,194(峰值$357,194)  已存档300笔逐笔
[06:52:52] 价格$0.02477501  流动性$357,194(峰值$357,194)  已存档300笔逐笔
[06:53:53] 价格$0.02499373  流动性$358,607(峰值$358,607)  已存档300笔逐笔
[06:54:53] 价格$0.02535475  流动性$361,335(峰值$361,335)  已存档300笔逐笔
[06:55:54] 价格$0.02547857  流动性$361,887(峰值$361,887)  已存档300笔逐笔  操盘方卖出比例=0.0%
[06:56:54] 价格$0.02560863  流动性$362,504(峰值$362,504)  已存档300笔逐笔
[06:57:54] 价格$0.02560863  流动性$362,504(峰值$362,504)  已存档300笔逐笔
[06:58:54] 价格$0.02595681  流动性$364,437(峰值$364,437)  已存档300笔逐笔
[06:59:55] 价格$0.02595681  流动性$364,437(峰值$364,437)  已存档300笔逐笔
[07:00:55] 价格$0.02629720  流动性$368,197(峰值$368,197)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:01:55] 价格$0.02629720  流动性$368,197(峰值$368,197)  已存档300笔逐笔
[07:02:56] 价格$0.02656374  流动性$370,029(峰值$370,029)  已存档300笔逐笔
[07:03:56] 价格$0.02684591  流动性$371,884(峰值$371,884)  已存档300笔逐笔
[07:04:57] 价格$0.02684591  流动性$371,884(峰值$371,884)  已存档300笔逐笔
[07:05:58] 价格$0.02722333  流动性$374,699(峰值$374,699)  已存档300笔逐笔  操盘方卖出比例=0.0%
[07:06:59] 价格$0.02736671  流动性$375,894(峰值$375,894)  已存档300笔逐笔
