[02:04:39] === 45E76T96 高密度崩盘取证监控启动 ===
[02:04:40] 基线: 价格$0.01836915 流动性$306,859
[02:05:40] 价格$0.01883009  流动性$311,995(峰值$311,995)  已存档300笔逐笔  操盘方卖出比例=0.1%
[02:06:41] 价格$0.01901592  流动性$312,740(峰值$312,740)  已存档300笔逐笔
[02:07:41] 价格$0.01895777  流动性$313,172(峰值$313,172)  已存档300笔逐笔
[02:08:41] 价格$0.01918727  流动性$314,701(峰值$314,701)  已存档300笔逐笔
[02:09:41] 价格$0.01926615  流动性$314,631(峰值$314,701)  已存档300笔逐笔
[02:10:42] 价格$0.01934633  流动性$315,945(峰值$315,945)  已存档300笔逐笔  操盘方卖出比例=0.6%
[02:11:42] 价格$0.01938651  流动性$316,340(峰值$316,340)  已存档300笔逐笔
[02:12:42] 价格$0.01940448  流动性$317,241(峰值$317,241)  已存档300笔逐笔
[02:13:43] 价格$0.01946338  流动性$317,183(峰值$317,241)  已存档300笔逐笔
[02:14:44] 价格$0.01946321  流动性$316,741(峰值$317,241)  已存档300笔逐笔
[02:15:44] 价格$0.01938515  流动性$316,005(峰值$317,241)  已存档300笔逐笔  操盘方卖出比例=1.1%
[02:16:44] 价格$0.01938515  流动性$316,005(峰值$317,241)  已存档300笔逐笔
[02:17:45] 价格$0.01963817  流动性$318,071(峰值$318,071)  已存档300笔逐笔
[02:18:46] 价格$0.01959322  流动性$319,147(峰值$319,147)  已存档300笔逐笔
[02:19:46] 价格$0.01974135  流动性$320,069(峰值$320,069)  已存档300笔逐笔
[02:20:46] 价格$0.01974135  流动性$320,069(峰值$320,069)  已存档300笔逐笔  操盘方卖出比例=1.5%
[02:21:46] 价格$0.01965448  流动性$319,040(峰值$320,069)  已存档300笔逐笔
[02:22:48] 价格$0.01978775  流动性$319,535(峰值$320,069)  已存档300笔逐笔
[02:23:48] 价格$0.01985191  流动性$320,516(峰值$320,516)  已存档300笔逐笔
[02:24:48] 价格$0.01987457  流动性$319,743(峰值$320,516)  已存档300笔逐笔
[02:25:49] 价格$0.01987457  流动性$319,743(峰值$320,516)  已存档300笔逐笔  操盘方卖出比例=1.9%
[02:26:49] 价格$0.02003855  流动性$322,337(峰值$322,337)  已存档300笔逐笔
[02:27:49] 价格$0.02004189  流动性$321,822(峰值$322,337)  已存档300笔逐笔
[02:28:50] 价格$0.02011800  流动性$322,718(峰值$322,718)  已存档300笔逐笔
[02:29:50] 价格$0.02027315  流动性$324,339(峰值$324,339)  已存档300笔逐笔
[02:30:50] 价格$0.02027315  流动性$324,339(峰值$324,339)  已存档300笔逐笔  操盘方卖出比例=2.2%
[02:31:51] 价格$0.02039427  流动性$325,648(峰值$325,648)  已存档300笔逐笔
[02:32:51] 价格$0.02050701  流动性$326,471(峰值$326,471)  已存档300笔逐笔
[02:33:51] 价格$0.02056317  流动性$326,999(峰值$326,999)  已存档300笔逐笔
[02:34:51] 价格$0.02056317  流动性$326,999(峰值$326,999)  已存档300笔逐笔
[02:35:52] 价格$0.02070531  流动性$328,985(峰值$328,985)  已存档300笔逐笔  操盘方卖出比例=2.5%
[02:36:52] 价格$0.02087341  流动性$328,906(峰值$328,985)  已存档300笔逐笔
[02:37:53] 价格$0.02106910  流动性$330,196(峰值$330,196)  已存档300笔逐笔
[02:38:53] 价格$0.02109202  流动性$330,560(峰值$330,560)  已存档300笔逐笔
[02:39:53] 价格$0.02114558  流动性$331,877(峰值$331,877)  已存档300笔逐笔
[02:40:54] 价格$0.02114558  流动性$331,877(峰值$331,877)  已存档300笔逐笔  操盘方卖出比例=2.9%
[02:41:54] 价格$0.02125425  流动性$331,469(峰值$331,877)  已存档300笔逐笔
[02:42:54] 价格$0.02125425  流动性$331,469(峰值$331,877)  已存档300笔逐笔
[02:43:54] 价格$0.02133188  流动性$332,576(峰值$332,576)  已存档300笔逐笔
[02:44:54] 价格$0.02133188  流动性$332,576(峰值$332,576)  已存档300笔逐笔
[02:45:55] 价格$0.02138531  流动性$333,605(峰值$333,605)  已存档300笔逐笔  操盘方卖出比例=3.2%
[02:46:55] 价格$0.02145364  流动性$334,169(峰值$334,169)  已存档300笔逐笔
[02:47:55] 价格$0.02144765  流动性$333,550(峰值$334,169)  已存档300笔逐笔
[02:48:56] 价格$0.02158745  流动性$334,389(峰值$334,389)  已存档300笔逐笔
[02:49:56] 价格$0.02160581  流动性$334,829(峰值$334,829)  已存档300笔逐笔
[02:50:56] 价格$0.02160581  流动性$334,829(峰值$334,829)  已存档300笔逐笔  操盘方卖出比例=3.6%
[02:51:57] 价格$0.02162162  流动性$335,968(峰值$335,968)  已存档300笔逐笔
[02:52:57] 价格$0.02168695  流动性$335,594(峰值$335,968)  已存档300笔逐笔
[02:53:58] 价格$0.02168695  流动性$335,594(峰值$335,968)  已存档300笔逐笔
[02:54:58] 价格$0.02185657  流动性$337,354(峰值$337,354)  已存档300笔逐笔
[02:55:59] 价格$0.02185657  流动性$337,354(峰值$337,354)  已存档300笔逐笔  操盘方卖出比例=3.9%
[02:57:00] 价格$0.02181954  流动性$337,637(峰值$337,637)  已存档300笔逐笔
[02:58:00] 价格$0.02205817  流动性$337,458(峰值$337,637)  已存档300笔逐笔
[02:59:01] 价格$0.02205817  流动性$337,458(峰值$337,637)  已存档300笔逐笔
[03:00:01] 价格$0.00000114  流动性$1,172(峰值$337,637)  已存档300笔逐笔
[03:00:01] *** 流动性暴跌,疑似崩盘发生! 立刻加密取证 ***
[03:00:01] 崩盘时刻快照: 价格$0.00000114 流动性$1,172 操盘方卖出比例=1.0
[03:00:01] === 监控结束(崩盘=是) ===
