[23:13:36] === 4Kp8VTMN 高密度崩盘取证监控启动 ===
[23:13:36] 基线: 价格$0.00000672 流动性$3,919
[23:14:37] 价格$0.00000673  流动性$3,725(峰值$3,919)  已存档300笔逐笔  操盘方卖出比例=84.3%
[23:15:37] 价格$0.00000625  流动性$3,796(峰值$3,919)  已存档300笔逐笔
[23:16:37] 价格$0.00000625  流动性$3,796(峰值$3,919)  已存档300笔逐笔
[23:17:38] 价格$0.00000612  流动性$3,673(峰值$3,919)  已存档300笔逐笔
[23:18:38] 价格$0.00001021  流动性$5,094(峰值$5,094)  已存档300笔逐笔
[23:19:39] 价格$0.00001021  流动性$5,094(峰值$5,094)  已存档300笔逐笔  操盘方卖出比例=97.5%
[23:20:39] 价格$0.00000674  流动性$4,297(峰值$5,094)  已存档300笔逐笔
[23:21:39] 价格$0.00000744  流动性$4,094(峰值$5,094)  已存档300笔逐笔
[23:22:39] 价格$0.00000744  流动性$4,094(峰值$5,094)  已存档300笔逐笔
[23:23:40] 价格$0.00000664  流动性$3,994(峰值$5,094)  已存档300笔逐笔
[23:24:41] 价格$0.00000784  流动性$4,267(峰值$5,094)  已存档300笔逐笔  操盘方卖出比例=96.2%
[23:25:41] 价格$0.00000829  流动性$4,379(峰值$5,094)  已存档300笔逐笔
[23:26:41] 价格$0.00000829  流动性$4,379(峰值$5,094)  已存档300笔逐笔
[23:27:41] 价格$0.00000810  流动性$4,425(峰值$5,094)  已存档300笔逐笔
[23:28:42] 价格$0.00000699  流动性$4,027(峰值$5,094)  已存档300笔逐笔
[23:29:42] 价格$0.00000699  流动性$4,027(峰值$5,094)  已存档300笔逐笔  操盘方卖出比例=95.3%
[23:30:42] 价格$0.00000695  流动性$3,870(峰值$5,094)  已存档300笔逐笔
[23:31:43] 价格$0.00000695  流动性$3,870(峰值$5,094)  已存档300笔逐笔
[23:32:43] 价格$0.00000658  流动性$3,897(峰值$5,094)  已存档300笔逐笔
[23:33:43] 价格$0.00000726  流动性$3,882(峰值$5,094)  已存档300笔逐笔
[23:34:44] 价格$0.00000726  流动性$3,882(峰值$5,094)  已存档300笔逐笔  操盘方卖出比例=97.3%
[23:35:44] 价格$0.00000639  流动性$3,823(峰值$5,094)  已存档300笔逐笔
