[20:23:30] === 4KzFBqk7 高密度崩盘取证监控启动 ===
[20:23:30] 基线: 价格$0.00014534 流动性$25,643
[20:24:30] 价格$0.00014534  流动性$25,643(峰值$25,643)  已存档300笔逐笔  操盘方卖出比例=1.9%
[20:25:30] 价格$0.00016039  流动性$27,128(峰值$27,128)  已存档15笔逐笔
[20:26:31] 价格$0.00016039  流动性$27,128(峰值$27,128)  已存档8笔逐笔
[20:27:31] 价格$0.00015526  流动性$27,079(峰值$27,128)  已存档16笔逐笔
[20:28:31] 价格$0.00015450  流动性$27,038(峰值$27,128)  已存档19笔逐笔
[20:29:31] 价格$0.00015479  流动性$26,862(峰值$27,128)  已存档10笔逐笔  操盘方卖出比例=3.3%
[20:30:31] 价格$0.00015479  流动性$26,862(峰值$27,128)  已存档18笔逐笔
[20:31:32] 价格$0.00015457  流动性$27,040(峰值$27,128)  已存档8笔逐笔
[20:32:32] 价格$0.00015677  流动性$26,903(峰值$27,128)  已存档27笔逐笔
[20:33:32] 价格$0.00015677  流动性$26,903(峰值$27,128)  已存档9笔逐笔
[20:34:54] 价格$0.00015518  流动性$26,919(峰值$27,128)  已存档15笔逐笔  操盘方卖出比例=3.5%
[20:35:54] 价格$0.00015844  流动性$27,023(峰值$27,128)  已存档17笔逐笔
[20:36:54] 价格$0.00015859  流动性$27,284(峰值$27,284)  已存档19笔逐笔
[20:37:55] 价格$0.00015859  流动性$27,284(峰值$27,284)  已存档8笔逐笔
[20:38:55] 价格$0.00015950  流动性$27,182(峰值$27,284)  已存档19笔逐笔
[20:40:17] 价格$0.00015687  流动性$27,348(峰值$27,348)  已存档8笔逐笔  操盘方卖出比例=3.5%
[20:41:17] 价格$0.00016000  流动性$27,222(峰值$27,348)  已存档28笔逐笔
[20:42:17] 价格$0.00016000  流动性$27,222(峰值$27,348)  已存档14笔逐笔
[20:43:18] 价格$0.00016043  流动性$27,437(峰值$27,437)  已存档17笔逐笔
[20:44:18] 价格$0.00016043  流动性$27,437(峰值$27,437)  已存档12笔逐笔
[20:45:40] 价格$0.00015991  流动性$27,341(峰值$27,437)  已存档16笔逐笔  操盘方卖出比例=3.5%
[20:46:41] 价格$0.00016204  流动性$27,418(峰值$27,437)  已存档18笔逐笔
[20:47:41] 价格$0.00016257  流动性$27,398(峰值$27,437)  已存档16笔逐笔
[20:48:41] 价格$0.00016257  流动性$27,398(峰值$27,437)  已存档9笔逐笔
[20:49:41] 价格$0.00016265  流动性$27,420(峰值$27,437)  已存档18笔逐笔
[20:51:04] 价格$0.00016102  流动性$27,445(峰值$27,445)  已存档17笔逐笔  操盘方卖出比例=3.5%
[20:52:04] 价格$0.00016135  流动性$27,504(峰值$27,504)  已存档17笔逐笔
[20:53:04] 价格$0.00016380  流动性$27,520(峰值$27,520)  已存档19笔逐笔
[20:54:05] 价格$0.00016403  流动性$27,554(峰值$27,554)  已存档20笔逐笔
[20:55:05] 价格$0.00016403  流动性$27,554(峰值$27,554)  已存档0笔逐笔
[20:56:27] 价格$0.00016478  流动性$27,574(峰值$27,574)  已存档16笔逐笔  操盘方卖出比例=3.5%
[20:57:27] 价格$0.00016440  流动性$27,569(峰值$27,574)  已存档26笔逐笔
[20:58:27] 价格$0.00016440  流动性$27,569(峰值$27,574)  已存档17笔逐笔
[20:59:28] 价格$0.00016453  流动性$27,567(峰值$27,574)  已存档16笔逐笔
[21:00:28] 价格$0.00016392  流动性$27,489(峰值$27,574)  已存档0笔逐笔
[21:01:28] 价格$0.00016392  流动性$27,489(峰值$27,574)  已存档26笔逐笔  操盘方卖出比例=3.5%
[21:02:28] 价格$0.00016245  流动性$27,555(峰值$27,574)  已存档15笔逐笔
[21:03:29] 价格$0.00016235  流动性$27,694(峰值$27,694)  已存档10笔逐笔
[21:04:29] 价格$0.00016207  流动性$27,518(峰值$27,694)  已存档18笔逐笔
[21:05:29] 价格$0.00016264  流动性$27,534(峰值$27,694)  已存档10笔逐笔
[21:06:29] 价格$0.00016264  流动性$27,534(峰值$27,694)  已存档16笔逐笔  操盘方卖出比例=3.5%
[21:07:29] 价格$0.00016512  流动性$27,574(峰值$27,694)  已存档19笔逐笔
