[23:02:23] === 4QcrGXs1 高密度崩盘取证监控启动 ===
[23:02:23] 基线: 价格$0.00000298 流动性$2,265
[23:03:24] 价格$0.00000318  流动性$2,337(峰值$2,337)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:04:24] 价格$0.00000289  流动性$2,216(峰值$2,337)  已存档300笔逐笔
[23:05:25] 价格$0.00000281  流动性$2,169(峰值$2,337)  已存档300笔逐笔
[23:06:25] 价格$0.00000281  流动性$2,169(峰值$2,337)  已存档300笔逐笔
[23:07:25] 价格$0.00000255  流动性$2,046(峰值$2,337)  已存档300笔逐笔
[23:08:26] 价格$0.00000255  流动性$1,994(峰值$2,337)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:09:27] 价格$0.00000255  流动性$1,994(峰值$2,337)  已存档300笔逐笔
[23:10:27] 价格$0.00000254  流动性$1,985(峰值$2,337)  已存档300笔逐笔
[23:11:28] 价格$0.00000254  流动性$1,985(峰值$2,337)  已存档300笔逐笔
[23:12:28] 价格$0.00000240  流动性$1,963(峰值$2,337)  已存档300笔逐笔
[23:13:29] 价格$0.00000240  流动性$1,963(峰值$2,337)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:14:29] 价格$0.00000220  流动性$1,746(峰值$2,337)  已存档300笔逐笔
[23:15:30] 价格$0.00000220  流动性$1,746(峰值$2,337)  已存档300笔逐笔
[23:16:30] 价格$0.00000220  流动性$1,746(峰值$2,337)  已存档300笔逐笔
[23:17:30] 价格$0.00000220  流动性$1,746(峰值$2,337)  已存档300笔逐笔
[23:18:31] 价格$0.00000220  流动性$1,746(峰值$2,337)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:19:31] 价格$0.00000220  流动性$1,748(峰值$2,337)  已存档300笔逐笔
[23:20:31] 价格$0.00000220  流动性$1,748(峰值$2,337)  已存档300笔逐笔
[23:21:32] 价格$0.00000220  流动性$1,748(峰值$2,337)  已存档300笔逐笔
[23:22:32] 价格$0.00000220  流动性$1,748(峰值$2,337)  已存档300笔逐笔
[23:23:33] 价格$0.00000221  流动性$1,747(峰值$2,337)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:24:42] 价格$0.00000221  流动性$1,747(峰值$2,337)  已存档300笔逐笔
[23:25:42] 价格$0.00000221  流动性$1,747(峰值$2,337)  已存档300笔逐笔
[23:26:43] 价格$0.00000221  流动性$1,747(峰值$2,337)  已存档300笔逐笔
[23:27:43] 价格$0.00000221  流动性$1,747(峰值$2,337)  已存档300笔逐笔
[23:28:45] 价格$0.00000221  流动性$1,750(峰值$2,337)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:29:45] 价格$0.00000221  流动性$1,750(峰值$2,337)  已存档300笔逐笔
[23:30:45] 价格$0.00000221  流动性$1,750(峰值$2,337)  已存档300笔逐笔
[23:31:46] 价格$0.00000221  流动性$1,750(峰值$2,337)  已存档300笔逐笔
