[21:57:31] === 5rCqL4sr 高密度崩盘取证监控启动 ===
[21:57:32] 基线: 价格$0.00032620 流动性$39,598
[21:58:33] 价格$0.00033231  流动性$40,097(峰值$40,097)  已存档35笔逐笔  操盘方卖出比例=0.0%
[21:59:33] 价格$0.00033462  流动性$40,391(峰值$40,391)  已存档6笔逐笔
[22:00:33] 价格$0.00033462  流动性$40,391(峰值$40,391)  已存档0笔逐笔
[22:01:33] 价格$0.00033462  流动性$40,391(峰值$40,391)  已存档0笔逐笔
[22:02:33] 价格$0.00033462  流动性$40,391(峰值$40,391)  已存档0笔逐笔
[22:03:33] 价格$0.00033462  流动性$40,391(峰值$40,391)  已存档0笔逐笔  操盘方卖出比例=0.0%
[22:04:34] 价格$0.00033462  流动性$40,389(峰值$40,391)  已存档0笔逐笔
[22:05:34] 价格$0.00033462  流动性$40,389(峰值$40,391)  已存档0笔逐笔
[22:06:34] 价格$0.00033462  流动性$40,389(峰值$40,391)  已存档0笔逐笔
[22:07:34] 价格$0.00033372  流动性$40,512(峰值$40,512)  已存档1笔逐笔
[22:08:35] 价格$0.00033372  流动性$40,512(峰值$40,512)  已存档0笔逐笔  操盘方卖出比例=0.0%
[22:09:35] 价格$0.00033372  流动性$40,512(峰值$40,512)  已存档0笔逐笔
[22:10:35] 价格$0.00033372  流动性$40,512(峰值$40,512)  已存档0笔逐笔
[22:11:35] 价格$0.00033372  流动性$40,512(峰值$40,512)  已存档0笔逐笔
[22:12:36] 价格$0.00033372  流动性$40,512(峰值$40,512)  已存档0笔逐笔
[22:13:36] 价格$0.00033372  流动性$40,504(峰值$40,512)  已存档0笔逐笔  操盘方卖出比例=0.0%
[22:14:36] 价格$0.00033372  流动性$40,504(峰值$40,512)  已存档0笔逐笔
[22:15:36] 价格$0.00033372  流动性$40,504(峰值$40,512)  已存档0笔逐笔
[22:16:36] 价格$0.00033372  流动性$40,504(峰值$40,512)  已存档0笔逐笔
[22:17:37] 价格$0.00033372  流动性$40,504(峰值$40,512)  已存档0笔逐笔
[22:18:37] 价格$0.00033372  流动性$40,504(峰值$40,512)  已存档0笔逐笔  操盘方卖出比例=0.0%
[22:19:37] 价格$0.00033372  流动性$40,480(峰值$40,512)  已存档0笔逐笔
[22:20:37] 价格$0.00033372  流动性$40,480(峰值$40,512)  已存档0笔逐笔
[22:21:38] 价格$0.00033372  流动性$40,480(峰值$40,512)  已存档0笔逐笔
[22:22:38] 价格$0.00033372  流动性$40,480(峰值$40,512)  已存档0笔逐笔
[22:23:38] 价格$0.00042373  流动性$46,342(峰值$46,342)  已存档30笔逐笔  操盘方卖出比例=3.3%
[22:24:39] 价格$0.00043460  流动性$45,973(峰值$46,342)  已存档221笔逐笔
[22:25:39] 价格$0.00045315  流动性$48,219(峰值$48,219)  已存档0笔逐笔
[22:26:39] 价格$0.00046074  流动性$47,379(峰值$48,219)  已存档154笔逐笔
[22:27:39] 价格$0.00052149  流动性$51,126(峰值$51,126)  已存档192笔逐笔
[22:28:40] 价格$0.00052149  流动性$51,126(峰值$51,126)  已存档0笔逐笔  操盘方卖出比例=35.0%
[22:29:40] 价格$0.00044576  流动性$46,475(峰值$51,126)  已存档187笔逐笔
[22:30:40] 价格$0.00046423  流动性$48,196(峰值$51,126)  已存档76笔逐笔
[22:31:40] 价格$0.00044912  流动性$48,372(峰值$51,126)  已存档80笔逐笔
[22:32:40] 价格$0.00042506  流动性$52,108(峰值$52,108)  已存档100笔逐笔
