[14:54:30] === 5riT6m17 高密度崩盘取证监控启动 ===
[14:54:31] 基线: 价格$0.00063281 流动性$55,866
[14:55:32] 价格$0.00065354  流动性$56,876(峰值$56,876)  已存档112笔逐笔  操盘方卖出比例=0.3%
[14:56:32] 价格$0.00066974  流动性$57,505(峰值$57,505)  已存档19笔逐笔
[14:57:32] 价格$0.00066974  流动性$57,505(峰值$57,505)  已存档9笔逐笔
[14:58:32] 价格$0.00067698  流动性$57,448(峰值$57,505)  已存档34笔逐笔
[14:59:32] 价格$0.00067698  流动性$57,448(峰值$57,505)  已存档10笔逐笔
[15:00:32] 价格$0.00067218  流动性$57,907(峰值$57,907)  已存档14笔逐笔  操盘方卖出比例=82.0%
[15:01:33] 价格$0.00067218  流动性$57,907(峰值$57,907)  已存档5笔逐笔
[15:02:33] 价格$0.00067732  流动性$57,933(峰值$57,933)  已存档16笔逐笔
[15:03:33] 价格$0.00067304  流动性$57,851(峰值$57,933)  已存档0笔逐笔
[15:04:34] 价格$0.00067678  流动性$58,000(峰值$58,000)  已存档34笔逐笔
[15:05:34] 价格$0.00067678  流动性$58,000(峰值$58,000)  已存档23笔逐笔  操盘方卖出比例=83.5%
[15:06:34] 价格$0.00068116  流动性$58,071(峰值$58,071)  已存档15笔逐笔
[15:07:34] 价格$0.00068116  流动性$58,071(峰值$58,071)  已存档17笔逐笔
[15:08:34] 价格$0.00066662  流动性$57,549(峰值$58,071)  已存档19笔逐笔
[15:09:35] 价格$0.00066662  流动性$57,549(峰值$58,071)  已存档26笔逐笔
[15:10:35] 价格$0.00067590  流动性$57,822(峰值$58,071)  已存档12笔逐笔  操盘方卖出比例=85.3%
[15:11:35] 价格$0.00067483  流动性$57,893(峰值$58,071)  已存档26笔逐笔
[15:12:36] 价格$0.00067775  流动性$57,932(峰值$58,071)  已存档22笔逐笔
[15:13:36] 价格$0.00067775  流动性$57,932(峰值$58,071)  已存档11笔逐笔
[15:14:36] 价格$0.00069797  流动性$58,872(峰值$58,872)  已存档21笔逐笔
[15:15:36] 价格$0.00069797  流动性$58,872(峰值$58,872)  已存档10笔逐笔  操盘方卖出比例=85.6%
[15:16:36] 价格$0.00069887  流动性$58,644(峰值$58,872)  已存档23笔逐笔
[15:17:36] 价格$0.00070172  流动性$58,859(峰值$58,872)  已存档8笔逐笔
[15:18:37] 价格$0.00069181  流动性$59,017(峰值$59,017)  已存档32笔逐笔
[15:19:37] 价格$0.00069972  流动性$59,058(峰值$59,058)  已存档10笔逐笔
[15:20:37] 价格$0.00070202  流动性$59,117(峰值$59,117)  已存档22笔逐笔  操盘方卖出比例=84.8%
[15:21:37] 价格$0.00070202  流动性$59,117(峰值$59,117)  已存档13笔逐笔
[15:22:38] 价格$0.00068924  流动性$58,595(峰值$59,117)  已存档30笔逐笔
[15:23:38] 价格$0.00068924  流动性$58,595(峰值$59,117)  已存档11笔逐笔
