[02:30:56] === 5sUBPTqU 高密度崩盘取证监控启动 ===
[02:30:57] 基线: 价格$0.00317775 流动性$128,064
[02:31:58] 价格$0.00322161  流动性$128,450(峰值$128,450)  已存档300笔逐笔  操盘方卖出比例=5.8%
[02:32:58] 价格$0.00324068  流动性$128,839(峰值$128,839)  已存档300笔逐笔
[02:33:58] 价格$0.00325653  流动性$129,125(峰值$129,125)  已存档300笔逐笔
[02:34:59] 价格$0.00326885  流动性$129,427(峰值$129,427)  已存档300笔逐笔
[02:35:59] 价格$0.00326885  流动性$129,427(峰值$129,427)  已存档300笔逐笔
[02:37:01] 价格$0.00329552  流动性$129,947(峰值$129,947)  已存档300笔逐笔  操盘方卖出比例=5.8%
[02:38:01] 价格$0.00329552  流动性$129,947(峰值$129,947)  已存档300笔逐笔
[02:39:01] 价格$0.00333542  流动性$130,684(峰值$130,684)  已存档300笔逐笔
[02:40:02] 价格$0.00335257  流动性$131,041(峰值$131,041)  已存档300笔逐笔
[02:41:03] 价格$0.00337153  流动性$131,524(峰值$131,524)  已存档300笔逐笔
[02:42:04] 价格$0.00337153  流动性$131,524(峰值$131,524)  已存档300笔逐笔  操盘方卖出比例=5.8%
[02:43:04] 价格$0.00340166  流动性$132,138(峰值$132,138)  已存档300笔逐笔
[02:44:05] 价格$0.00341251  流动性$132,285(峰值$132,285)  已存档300笔逐笔
[02:45:05] 价格$0.00343036  流动性$132,665(峰值$132,665)  已存档300笔逐笔
[02:46:05] 价格$0.00344834  流动性$133,044(峰值$133,044)  已存档300笔逐笔
[02:47:06] 价格$0.00345828  流动性$133,205(峰值$133,205)  已存档300笔逐笔  操盘方卖出比例=5.8%
[02:48:06] 价格$0.00345828  流动性$133,205(峰值$133,205)  已存档300笔逐笔
[02:49:07] 价格$0.00350438  流动性$134,030(峰值$134,030)  已存档300笔逐笔
[02:50:07] 价格$0.00350438  流动性$134,030(峰值$134,030)  已存档300笔逐笔
[02:51:08] 价格$0.00352984  流动性$134,555(峰值$134,555)  已存档300笔逐笔
[02:52:08] 价格$0.00354436  流动性$134,894(峰值$134,894)  已存档300笔逐笔  操盘方卖出比例=5.8%
[02:53:08] 价格$0.00355433  流动性$135,001(峰值$135,001)  已存档300笔逐笔
[02:54:09] 价格$0.00356466  流动性$135,291(峰值$135,291)  已存档300笔逐笔
[02:55:09] 价格$0.00357771  流动性$135,518(峰值$135,518)  已存档300笔逐笔
[02:56:10] 价格$0.00357771  流动性$135,518(峰值$135,518)  已存档300笔逐笔
[02:57:10] 价格$0.00361533  流动性$136,072(峰值$136,072)  已存档300笔逐笔  操盘方卖出比例=5.8%
[02:58:11] 价格$0.00362927  流动性$136,525(峰值$136,525)  已存档300笔逐笔
[02:59:11] 价格$0.00364428  流动性$136,741(峰值$136,741)  已存档300笔逐笔
[03:00:12] 价格$0.00364428  流动性$136,741(峰值$136,741)  已存档300笔逐笔
[03:01:12] 价格$0.00367431  流动性$137,133(峰值$137,133)  已存档300笔逐笔
[03:02:13] 价格$0.00367431  流动性$137,133(峰值$137,133)  已存档300笔逐笔  操盘方卖出比例=5.7%
[03:03:13] 价格$0.00370024  流动性$137,783(峰值$137,783)  已存档300笔逐笔
[03:04:13] 价格$0.00370024  流动性$137,783(峰值$137,783)  已存档300笔逐笔
[03:05:13] 价格$0.00373915  流动性$138,431(峰值$138,431)  已存档300笔逐笔
[03:06:14] 价格$0.00375029  流动性$138,752(峰值$138,752)  已存档300笔逐笔
[03:07:15] 价格$0.00377081  流动性$139,155(峰值$139,155)  已存档300笔逐笔  操盘方卖出比例=5.7%
[03:08:15] 价格$0.00377081  流动性$139,155(峰值$139,155)  已存档300笔逐笔
[03:09:15] 价格$0.00379638  流动性$139,518(峰值$139,518)  已存档300笔逐笔
[03:10:15] 价格$0.00381105  流动性$139,899(峰值$139,899)  已存档300笔逐笔
[03:11:16] 价格$0.00381105  流动性$139,899(峰值$139,899)  已存档300笔逐笔
