[05:28:07] === 6bM4YoFe 高密度崩盘取证监控启动 ===
[05:28:07] 基线: 价格$0.00001499 流动性$12,837
[05:29:08] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[05:30:08] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:31:08] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:32:09] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:33:09] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:34:10] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[05:35:10] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:36:10] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:37:10] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:38:10] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:39:11] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[05:40:11] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:41:12] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:42:12] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:43:12] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:44:13] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[05:45:13] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:46:13] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:47:14] 价格$0.00001499  流动性$12,837(峰值$12,837)  已存档51笔逐笔
[05:48:14] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:49:14] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[05:50:15] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:51:15] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:52:15] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:53:15] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:54:16] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[05:55:16] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:56:16] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:57:17] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:58:17] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[05:59:17] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:00:18] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:01:18] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:02:18] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:03:19] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:04:19] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:05:20] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:06:20] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:07:20] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:08:21] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:09:21] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:10:22] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:11:22] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:12:22] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:13:22] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:14:23] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:15:23] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:16:24] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:17:24] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:18:24] 价格$0.00001499  流动性$12,791(峰值$12,837)  已存档51笔逐笔
[06:19:25] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔  操盘方卖出比例=100.0%
[06:20:25] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:21:26] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:22:26] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
[06:23:26] 价格$0.00001499  流动性$12,770(峰值$12,837)  已存档51笔逐笔
