[22:40:47] === 6stXLsnY 高密度崩盘取证监控启动 ===
[22:40:48] 基线: 价格$0.00004182 流动性$23,847
[22:41:49] 价格$0.00004192  流动性$23,886(峰值$23,886)  已存档201笔逐笔  操盘方卖出比例=0.0%
[22:42:50] 价格$0.00004192  流动性$23,886(峰值$23,886)  已存档203笔逐笔
[22:43:50] 价格$0.00004208  流动性$23,939(峰值$23,939)  已存档204笔逐笔
[22:44:51] 价格$0.00004210  流动性$23,944(峰值$23,944)  已存档204笔逐笔
[22:45:51] 价格$0.00004213  流动性$23,944(峰值$23,944)  已存档206笔逐笔
[22:46:52] 价格$0.00004213  流动性$23,944(峰值$23,944)  已存档206笔逐笔  操盘方卖出比例=0.0%
[22:47:52] 价格$0.00004218  流动性$23,975(峰值$23,975)  已存档207笔逐笔
[22:48:52] 价格$0.00004221  流动性$23,982(峰值$23,982)  已存档208笔逐笔
[22:49:53] 价格$0.00004224  流动性$23,994(峰值$23,994)  已存档209笔逐笔
[22:50:53] 价格$0.00004224  流动性$23,994(峰值$23,994)  已存档210笔逐笔
[22:51:54] 价格$0.00004230  流动性$24,014(峰值$24,014)  已存档211笔逐笔  操盘方卖出比例=0.0%
[22:52:54] 价格$0.00004238  流动性$24,039(峰值$24,039)  已存档212笔逐笔
[22:53:55] 价格$0.00004246  流动性$24,086(峰值$24,086)  已存档213笔逐笔
[22:54:55] 价格$0.00004251  流动性$24,087(峰值$24,087)  已存档214笔逐笔
[22:55:55] 价格$0.00004251  流动性$24,087(峰值$24,087)  已存档214笔逐笔
[22:56:56] 价格$0.00004258  流动性$24,100(峰值$24,100)  已存档215笔逐笔  操盘方卖出比例=0.0%
[22:57:56] 价格$0.00004258  流动性$24,100(峰值$24,100)  已存档216笔逐笔
[22:58:56] 价格$0.00004258  流动性$24,100(峰值$24,100)  已存档217笔逐笔
[22:59:57] 价格$0.00004277  流动性$24,150(峰值$24,150)  已存档218笔逐笔
[23:00:57] 价格$0.00004277  流动性$24,129(峰值$24,150)  已存档219笔逐笔
[23:01:58] 价格$0.00004282  流动性$24,187(峰值$24,187)  已存档220笔逐笔  操盘方卖出比例=0.0%
[23:02:58] 价格$0.00004287  流动性$24,203(峰值$24,203)  已存档221笔逐笔
[23:03:58] 价格$0.00004287  流动性$24,203(峰值$24,203)  已存档221笔逐笔
[23:04:59] 价格$0.00004293  流动性$24,224(峰值$24,224)  已存档223笔逐笔
[23:06:00] 价格$0.00004298  流动性$24,253(峰值$24,253)  已存档224笔逐笔
[23:07:00] 价格$0.00004298  流动性$24,253(峰值$24,253)  已存档225笔逐笔  操盘方卖出比例=0.0%
[23:08:01] 价格$0.00004315  流动性$24,243(峰值$24,253)  已存档226笔逐笔
[23:09:01] 价格$0.00004329  流动性$24,346(峰值$24,346)  已存档226笔逐笔
[23:10:03] 价格$0.00004337  流动性$24,369(峰值$24,369)  已存档228笔逐笔
[23:11:03] 价格$0.00004337  流动性$24,369(峰值$24,369)  已存档229笔逐笔
