[09:24:36] 价格$0.00000000  流动性$14,018,275,727(峰值$14,018,275,727)  已存档0笔逐笔
[09:25:36] 价格$0.00000000  流动性$14,057,926,422(峰值$14,057,926,422)  已存档0笔逐笔
[09:26:37] 价格$0.00000000  流动性$14,057,926,422(峰值$14,057,926,422)  已存档0笔逐笔  卖出比例=查不到
[09:27:37] 价格$0.00000000  流动性$14,057,926,422(峰值$14,057,926,422)  已存档0笔逐笔
[09:28:38] 价格$0.00000000  流动性$14,057,926,422(峰值$14,057,926,422)  已存档0笔逐笔
[09:29:38] 价格$0.00000000  流动性$14,057,926,422(峰值$14,057,926,422)  已存档0笔逐笔
[09:30:38] 价格$0.00000000  流动性$14,057,926,422(峰值$14,057,926,422)  已存档0笔逐笔
[09:31:40] 价格$0.00000000  流动性$14,061,487,934(峰值$14,061,487,934)  已存档0笔逐笔  卖出比例=查不到
[09:32:40] 价格$0.00000000  流动性$14,061,487,934(峰值$14,061,487,934)  已存档0笔逐笔
[09:33:40] 价格$0.00000000  流动性$14,061,487,934(峰值$14,061,487,934)  已存档0笔逐笔
[09:34:40] 价格$0.00000000  流动性$14,061,487,934(峰值$14,061,487,934)  已存档0笔逐笔
[09:35:40] 价格$0.00000000  流动性$14,061,487,934(峰值$14,061,487,934)  已存档0笔逐笔
[09:36:41] 价格$0.00000000  流动性$14,061,487,934(峰值$14,061,487,934)  已存档0笔逐笔  卖出比例=查不到
[09:37:41] 价格$0.00000000  流动性$14,109,038,515(峰值$14,109,038,515)  已存档0笔逐笔
[09:38:41] 价格$0.00000000  流动性$14,109,038,515(峰值$14,109,038,515)  已存档0笔逐笔
[09:39:41] 价格$0.00000000  流动性$14,109,038,515(峰值$14,109,038,515)  已存档0笔逐笔
[09:40:42] 价格$0.00000000  流动性$14,109,038,515(峰值$14,109,038,515)  已存档0笔逐笔
[09:41:42] 价格$0.00000000  流动性$14,109,038,515(峰值$14,109,038,515)  已存档0笔逐笔  卖出比例=查不到
[09:42:42] 价格$0.00000000  流动性$14,109,038,515(峰值$14,109,038,515)  已存档0笔逐笔
[09:43:43] 价格$0.00000000  流动性$14,116,042,384(峰值$14,116,042,384)  已存档0笔逐笔
[09:44:43] 价格$0.00000000  流动性$14,116,042,384(峰值$14,116,042,384)  已存档0笔逐笔
[09:45:43] 价格$0.00000000  流动性$14,116,042,384(峰值$14,116,042,384)  已存档0笔逐笔
[09:46:44] 价格$0.00000000  流动性$14,116,042,384(峰值$14,116,042,384)  已存档0笔逐笔  卖出比例=查不到
[09:47:44] 价格$0.00000000  流动性$14,116,042,384(峰值$14,116,042,384)  已存档0笔逐笔
[09:48:44] 价格$0.00000000  流动性$14,116,042,384(峰值$14,116,042,384)  已存档0笔逐笔
[09:49:44] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔
[09:50:44] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔
[09:51:45] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔  卖出比例=查不到
[09:52:45] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔
[09:53:45] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔
[09:54:45] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔
[09:55:45] 价格$0.00000000  流动性$14,150,292,194(峰值$14,150,292,194)  已存档0笔逐笔
[09:56:46] 价格$0.00000000  流动性$14,145,753,828(峰值$14,150,292,194)  已存档0笔逐笔  卖出比例=查不到
[09:57:46] 价格$0.00000000  流动性$14,145,753,828(峰值$14,150,292,194)  已存档0笔逐笔
[09:58:46] 价格$0.00000000  流动性$14,145,753,828(峰值$14,150,292,194)  已存档0笔逐笔
[09:59:47] 价格$0.00000000  流动性$14,145,753,828(峰值$14,150,292,194)  已存档0笔逐笔
[10:00:47] 价格$0.00000000  流动性$14,145,753,828(峰值$14,150,292,194)  已存档0笔逐笔
[10:01:47] 价格$0.00000000  流动性$14,142,760,905(峰值$14,150,292,194)  已存档0笔逐笔  卖出比例=查不到
[10:02:47] 价格$0.00000000  流动性$14,142,760,905(峰值$14,150,292,194)  已存档0笔逐笔
[10:03:47] 价格$0.00000000  流动性$14,142,760,905(峰值$14,150,292,194)  已存档0笔逐笔
[10:04:48] 价格$0.00000000  流动性$14,142,760,905(峰值$14,150,292,194)  已存档0笔逐笔
[10:05:48] 价格$0.00000000  流动性$14,142,760,905(峰值$14,150,292,194)  已存档0笔逐笔
[10:06:49] 价格$0.00000000  流动性$14,142,760,905(峰值$14,150,292,194)  已存档0笔逐笔  卖出比例=查不到
[10:07:49] 价格$0.00000000  流动性$14,141,256,688(峰值$14,150,292,194)  已存档0笔逐笔
[10:08:49] 价格$0.00000000  流动性$14,141,256,688(峰值$14,150,292,194)  已存档0笔逐笔
[10:09:50] 价格$0.00000000  流动性$14,141,256,688(峰值$14,150,292,194)  已存档0笔逐笔
[10:10:50] 价格$0.00000000  流动性$14,141,256,688(峰值$14,150,292,194)  已存档0笔逐笔
[10:11:51] 价格$0.00000000  流动性$14,141,256,688(峰值$14,150,292,194)  已存档0笔逐笔  卖出比例=查不到
[10:12:51] 价格$0.00000000  流动性$14,141,256,688(峰值$14,150,292,194)  已存档0笔逐笔
[10:13:51] 价格$0.00000000  流动性$14,133,732,436(峰值$14,150,292,194)  已存档0笔逐笔
[10:14:52] 价格$0.00000000  流动性$14,133,732,436(峰值$14,150,292,194)  已存档0笔逐笔
[10:15:52] 价格$0.00000000  流动性$14,133,732,436(峰值$14,150,292,194)  已存档0笔逐笔
