[22:58:14] === 7iX7DAd2 高密度崩盘取证监控启动 ===
[22:58:15] 基线: 价格$0.00001165 流动性$5,010
[22:59:15] 价格$0.00001165  流动性$5,010(峰值$5,010)  已存档300笔逐笔  操盘方卖出比例=87.8%
[23:00:16] 价格$0.00001598  流动性$5,634(峰值$5,634)  已存档300笔逐笔
[23:01:17] 价格$0.00001598  流动性$5,634(峰值$5,634)  已存档300笔逐笔
[23:02:17] 价格$0.00001651  流动性$5,757(峰值$5,757)  已存档300笔逐笔
[23:03:17] 价格$0.00000867  流动性$4,959(峰值$5,757)  已存档300笔逐笔
[23:04:18] 价格$0.00000867  流动性$4,959(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=98.5%
[23:05:18] 价格$0.00000444  流动性$2,600(峰值$5,757)  已存档300笔逐笔
[23:06:19] 价格$0.00000444  流动性$2,600(峰值$5,757)  已存档300笔逐笔
[23:07:19] 价格$0.00000434  流动性$2,816(峰值$5,757)  已存档300笔逐笔
[23:08:19] 价格$0.00000434  流动性$2,816(峰值$5,757)  已存档300笔逐笔
[23:09:20] 价格$0.00000329  流动性$2,434(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:10:20] 价格$0.00000312  流动性$2,447(峰值$5,757)  已存档300笔逐笔
[23:11:21] 价格$0.00000312  流动性$2,447(峰值$5,757)  已存档300笔逐笔
[23:12:21] 价格$0.00000291  流动性$2,231(峰值$5,757)  已存档300笔逐笔
[23:13:22] 价格$0.00000291  流动性$2,231(峰值$5,757)  已存档300笔逐笔
[23:14:22] 价格$0.00000266  流动性$2,107(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:15:23] 价格$0.00000260  流动性$2,026(峰值$5,757)  已存档300笔逐笔
[23:16:23] 价格$0.00000260  流动性$2,026(峰值$5,757)  已存档300笔逐笔
[23:17:23] 价格$0.00000257  流动性$2,014(峰值$5,757)  已存档300笔逐笔
[23:18:24] 价格$0.00000257  流动性$2,014(峰值$5,757)  已存档300笔逐笔
[23:19:25] 价格$0.00000257  流动性$2,007(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:20:25] 价格$0.00000257  流动性$2,007(峰值$5,757)  已存档300笔逐笔
[23:21:26] 价格$0.00000257  流动性$2,007(峰值$5,757)  已存档300笔逐笔
[23:22:26] 价格$0.00000257  流动性$2,009(峰值$5,757)  已存档300笔逐笔
[23:23:26] 价格$0.00000257  流动性$2,007(峰值$5,757)  已存档300笔逐笔
[23:24:27] 价格$0.00000255  流动性$1,997(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:25:27] 价格$0.00000255  流动性$1,997(峰值$5,757)  已存档300笔逐笔
[23:26:27] 价格$0.00000255  流动性$1,997(峰值$5,757)  已存档300笔逐笔
[23:27:28] 价格$0.00000254  流动性$1,988(峰值$5,757)  已存档300笔逐笔
[23:28:28] 价格$0.00000254  流动性$1,988(峰值$5,757)  已存档300笔逐笔
[23:29:29] 价格$0.00000264  流动性$2,022(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:30:29] 价格$0.00000267  流动性$2,086(峰值$5,757)  已存档300笔逐笔
[23:31:30] 价格$0.00000267  流动性$2,078(峰值$5,757)  已存档300笔逐笔
[23:32:30] 价格$0.00000266  流动性$2,072(峰值$5,757)  已存档300笔逐笔
[23:33:30] 价格$0.00000266  流动性$2,072(峰值$5,757)  已存档300笔逐笔
[23:34:31] 价格$0.00000266  流动性$2,084(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:35:31] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:36:32] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:37:32] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:38:42] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:39:42] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:40:42] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:41:43] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:42:43] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:43:43] 价格$0.00000268  流动性$2,082(峰值$5,757)  已存档300笔逐笔
[23:44:44] 价格$0.00000272  流动性$2,109(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:45:44] 价格$0.00000272  流动性$2,109(峰值$5,757)  已存档300笔逐笔
[23:46:45] 价格$0.00000264  流动性$2,055(峰值$5,757)  已存档300笔逐笔
[23:47:45] 价格$0.00000264  流动性$2,055(峰值$5,757)  已存档300笔逐笔
[23:48:45] 价格$0.00000264  流动性$2,055(峰值$5,757)  已存档300笔逐笔
[23:49:46] 价格$0.00000264  流动性$2,055(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:50:47] 价格$0.00000264  流动性$2,055(峰值$5,757)  已存档300笔逐笔
[23:51:47] 价格$0.00000264  流动性$2,055(峰值$5,757)  已存档300笔逐笔
[23:52:48] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔
[23:53:49] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔
[23:54:49] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔  操盘方卖出比例=100.0%
[23:55:49] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔
[23:56:50] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔
[23:57:50] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔
[23:58:51] 价格$0.00000257  流动性$2,010(峰值$5,757)  已存档300笔逐笔
[23:58:51] === 监控结束(崩盘=否,本段时间内仍存活) ===
