[23:34:31] === 7xcRo6YS 高密度崩盘取证监控启动 ===
[23:34:32] 基线: 价格$0.02379116 流动性$349,584
[23:35:32] 价格$0.02477282  流动性$357,552(峰值$357,552)  已存档300笔逐笔  操盘方卖出比例=0.3%
[23:36:32] 价格$0.02633663  流动性$370,006(峰值$370,006)  已存档300笔逐笔
[23:37:32] 价格$0.02751652  流动性$376,322(峰值$376,322)  已存档300笔逐笔
[23:38:33] 价格$0.02868964  流动性$382,810(峰值$382,810)  已存档300笔逐笔
[23:39:33] 价格$0.02868964  流动性$382,810(峰值$382,810)  已存档300笔逐笔
[23:40:33] 价格$0.03132159  流动性$402,373(峰值$402,373)  已存档300笔逐笔  操盘方卖出比例=1.4%
[23:41:34] 价格$0.03283676  流动性$411,423(峰值$411,423)  已存档300笔逐笔
[23:42:34] 价格$0.03283676  流动性$411,423(峰值$411,423)  已存档298笔逐笔
[23:43:34] 价格$0.03555712  流动性$428,234(峰值$428,234)  已存档208笔逐笔
[23:44:35] 价格$0.03555712  流动性$428,234(峰值$428,234)  已存档300笔逐笔
[23:45:35] 价格$0.03801787  流动性$443,886(峰值$443,886)  已存档283笔逐笔  操盘方卖出比例=1.8%
[23:46:35] 价格$0.03923155  流动性$451,751(峰值$451,751)  已存档296笔逐笔
[23:47:36] 价格$0.04057671  流动性$459,055(峰值$459,055)  已存档300笔逐笔
[23:48:36] 价格$0.04057671  流动性$459,055(峰值$459,055)  已存档255笔逐笔
[23:49:36] 价格$0.04154380  流动性$466,127(峰值$466,127)  已存档300笔逐笔
[23:50:37] 价格$0.04152785  流动性$466,568(峰值$466,568)  已存档300笔逐笔  操盘方卖出比例=2.4%
[23:51:37] 价格$0.04232501  流动性$466,986(峰值$466,986)  已存档182笔逐笔
[23:52:38] 价格$0.04397102  流动性$477,302(峰值$477,302)  已存档300笔逐笔
[23:53:38] 价格$0.04397102  流动性$477,302(峰值$477,302)  已存档300笔逐笔
[23:54:38] 价格$0.04550613  流动性$488,174(峰值$488,174)  已存档300笔逐笔
[23:55:38] 价格$0.04636384  流动性$492,500(峰值$492,500)  已存档298笔逐笔  操盘方卖出比例=4.5%
[23:56:39] 价格$0.04700359  流动性$495,477(峰值$495,477)  已存档300笔逐笔
[23:57:39] 价格$0.04793988  流动性$498,992(峰值$498,992)  已存档0笔逐笔
[23:58:40] 价格$0.04878626  流动性$504,438(峰值$504,438)  已存档300笔逐笔
[23:59:40] 价格$0.04878626  流动性$504,438(峰值$504,438)  已存档300笔逐笔
[00:00:41] 价格$0.05004246  流动性$512,656(峰值$512,656)  已存档300笔逐笔  操盘方卖出比例=7.1%
[00:01:41] 价格$0.05104377  流动性$515,750(峰值$515,750)  已存档300笔逐笔
[00:02:41] 价格$0.05195395  流动性$521,548(峰值$521,548)  已存档300笔逐笔
[00:03:41] 价格$0.05195395  流动性$521,548(峰值$521,548)  已存档0笔逐笔
[00:04:41] 价格$0.05394552  流动性$531,164(峰值$531,164)  已存档300笔逐笔
[00:05:42] 价格$0.05394552  流动性$531,164(峰值$531,164)  已存档300笔逐笔  操盘方卖出比例=9.3%
[00:06:42] 价格$0.05521046  流动性$540,139(峰值$540,139)  已存档300笔逐笔
[00:07:42] 价格$0.05521046  流动性$540,139(峰值$540,139)  已存档300笔逐笔
[00:08:42] 价格$0.05775260  流动性$548,814(峰值$548,814)  已存档300笔逐笔
[00:09:42] 价格$0.05880979  流动性$554,065(峰值$554,065)  已存档300笔逐笔
[00:10:43] 价格$0.05880979  流动性$554,065(峰值$554,065)  已存档300笔逐笔  操盘方卖出比例=11.3%
[00:11:43] 价格$0.06057162  流动性$563,190(峰值$563,190)  已存档300笔逐笔
[00:12:43] 价格$0.06144123  流动性$566,584(峰值$566,584)  已存档297笔逐笔
[00:13:43] 价格$0.06206799  流动性$572,419(峰值$572,419)  已存档300笔逐笔
[00:14:43] 价格$0.06269072  流动性$574,696(峰值$574,696)  已存档300笔逐笔
[00:15:44] 价格$0.06269072  流动性$574,696(峰值$574,696)  已存档300笔逐笔  操盘方卖出比例=13.0%
[00:16:44] 价格$0.06446043  流动性$582,119(峰值$582,119)  已存档300笔逐笔
[00:17:44] 价格$0.06572829  流动性$587,054(峰值$587,054)  已存档300笔逐笔
[00:18:45] 价格$0.06609011  流动性$588,413(峰值$588,413)  已存档300笔逐笔
[00:19:45] 价格$0.06770021  流动性$596,308(峰值$596,308)  已存档0笔逐笔
[00:20:45] 价格$0.06770021  流动性$596,308(峰值$596,308)  已存档300笔逐笔  操盘方卖出比例=14.7%
[00:21:45] 价格$0.06969261  流动性$602,284(峰值$602,284)  已存档300笔逐笔
