[17:15:30] === 9vQ5HCzh 高密度崩盘取证监控启动 ===
[17:15:30] 基线: 价格$0.00006497 流动性$1,540
[17:16:31] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档10笔逐笔  操盘方卖出比例=0.0%
[17:17:31] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:18:31] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:19:31] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:20:31] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:21:32] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔  操盘方卖出比例=0.0%
[17:22:32] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:23:32] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:24:32] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:25:32] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:26:32] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔  操盘方卖出比例=0.0%
[17:27:33] 价格$0.00006497  流动性$1,548(峰值$1,548)  已存档0笔逐笔
[17:28:33] 价格$0.00006497  流动性$1,550(峰值$1,550)  已存档0笔逐笔
[17:29:33] 价格$0.00006497  流动性$1,550(峰值$1,550)  已存档0笔逐笔
[17:30:33] 价格$0.00006497  流动性$1,550(峰值$1,550)  已存档0笔逐笔
[17:31:33] 价格$0.00006497  流动性$1,550(峰值$1,550)  已存档0笔逐笔  操盘方卖出比例=0.0%
[17:32:33] 价格$0.00006497  流动性$1,550(峰值$1,550)  已存档0笔逐笔
[17:33:34] 价格$0.00006497  流动性$1,550(峰值$1,550)  已存档0笔逐笔
[17:34:34] 价格$0.00006497  流动性$1,551(峰值$1,551)  已存档0笔逐笔
[17:35:34] 价格$0.00006497  流动性$1,551(峰值$1,551)  已存档0笔逐笔
[17:36:34] 价格$0.00006497  流动性$1,551(峰值$1,551)  已存档0笔逐笔  操盘方卖出比例=0.0%
[17:37:34] 价格$0.00006497  流动性$1,551(峰值$1,551)  已存档0笔逐笔
[17:38:35] 价格$0.00006497  流动性$1,551(峰值$1,551)  已存档0笔逐笔
