[21:27:33] === A6RkGVe6 高密度崩盘取证监控启动 ===
[21:27:34] 基线: 价格$0.00201400 流动性$101,216
[21:28:35] 价格$0.00204766  流动性$102,014(峰值$102,014)  已存档162笔逐笔  操盘方卖出比例=0.0%
[21:29:35] 价格$0.00208158  流动性$102,618(峰值$102,618)  已存档82笔逐笔
[21:30:35] 价格$0.00209492  流动性$103,303(峰值$103,303)  已存档65笔逐笔
[21:31:36] 价格$0.00209492  流动性$103,303(峰值$103,303)  已存档34笔逐笔
[21:32:36] 价格$0.00209820  流动性$103,403(峰值$103,403)  已存档67笔逐笔
[21:33:36] 价格$0.00209820  流动性$103,403(峰值$103,403)  已存档77笔逐笔  操盘方卖出比例=0.0%
[21:34:37] 价格$0.00210270  流动性$103,414(峰值$103,414)  已存档71笔逐笔
[21:35:37] 价格$0.00211645  流动性$103,717(峰值$103,717)  已存档41笔逐笔
[21:36:38] 价格$0.00212521  流动性$104,057(峰值$104,057)  已存档88笔逐笔
[21:37:38] 价格$0.00214020  流动性$104,352(峰值$104,352)  已存档78笔逐笔
[21:38:39] 价格$0.00214020  流动性$104,352(峰值$104,352)  已存档39笔逐笔  操盘方卖出比例=0.0%
[21:39:39] 价格$0.00216917  流动性$104,947(峰值$104,947)  已存档80笔逐笔
[21:40:39] 价格$0.00216917  流动性$104,947(峰值$104,947)  已存档81笔逐笔
[21:41:39] 价格$0.00219802  流动性$105,853(峰值$105,853)  已存档52笔逐笔
[21:42:39] 价格$0.00219802  流动性$105,853(峰值$105,853)  已存档78笔逐笔
[21:43:40] 价格$0.00223237  流动性$106,693(峰值$106,693)  已存档74笔逐笔  操盘方卖出比例=0.1%
[21:44:40] 价格$0.00225820  流动性$107,320(峰值$107,320)  已存档40笔逐笔
[21:45:40] 价格$0.00227215  流动性$107,824(峰值$107,824)  已存档86笔逐笔
[21:46:40] 价格$0.00228127  流动性$108,149(峰值$108,149)  已存档73笔逐笔
[21:47:40] 价格$0.00229475  流动性$108,351(峰值$108,351)  已存档45笔逐笔
[21:48:41] 价格$0.00230677  流动性$108,732(峰值$108,732)  已存档88笔逐笔  操盘方卖出比例=0.1%
