[05:39:33] === AdtwHUWE 高密度崩盘取证监控启动 ===
[05:39:33] 基线: 价格$0.00873148 流动性$210,765
[05:40:34] 价格$0.00879838  流动性$212,153(峰值$212,153)  已存档300笔逐笔  卖出比例=查不到
[05:41:34] 价格$0.00879838  流动性$212,153(峰值$212,153)  已存档300笔逐笔
[05:42:35] 价格$0.00882343  流动性$213,041(峰值$213,041)  已存档300笔逐笔
[05:43:35] 价格$0.00882343  流动性$213,041(峰值$213,041)  已存档300笔逐笔
[05:44:36] 价格$0.00890431  流动性$212,984(峰值$213,041)  已存档300笔逐笔
[05:45:36] 价格$0.00891767  流动性$213,537(峰值$213,537)  已存档300笔逐笔  操盘方卖出比例=0.1%
[05:46:37] 价格$0.00894744  流动性$214,025(峰值$214,025)  已存档300笔逐笔
[05:47:37] 价格$0.00896066  流动性$214,118(峰值$214,118)  已存档300笔逐笔
[05:48:38] 价格$0.00898594  流动性$214,506(峰值$214,506)  已存档300笔逐笔
[05:49:38] 价格$0.00900157  流动性$214,856(峰值$214,856)  已存档300笔逐笔
[05:50:39] 价格$0.00900157  流动性$214,856(峰值$214,856)  已存档300笔逐笔  操盘方卖出比例=0.2%
[05:51:39] 价格$0.00903292  流动性$215,006(峰值$215,006)  已存档300笔逐笔
[05:52:40] 价格$0.00903292  流动性$215,006(峰值$215,006)  已存档300笔逐笔
[05:53:40] 价格$0.00907140  流动性$215,540(峰值$215,540)  已存档300笔逐笔
[05:54:41] 价格$0.00908828  流动性$215,676(峰值$215,676)  已存档300笔逐笔
[05:55:41] 价格$0.00908828  流动性$215,676(峰值$215,676)  已存档300笔逐笔  操盘方卖出比例=0.2%
[05:56:42] 价格$0.00912032  流动性$215,975(峰值$215,975)  已存档300笔逐笔
[05:57:43] 价格$0.00913023  流动性$216,222(峰值$216,222)  已存档300笔逐笔
[05:58:44] 价格$0.00914074  流动性$216,164(峰值$216,222)  已存档300笔逐笔
[05:59:44] 价格$0.00914074  流动性$216,164(峰值$216,222)  已存档300笔逐笔
[06:00:45] 价格$0.00913032  流动性$216,681(峰值$216,681)  已存档300笔逐笔  操盘方卖出比例=0.1%
[06:01:46] 价格$0.00918486  流动性$216,780(峰值$216,780)  已存档300笔逐笔
[06:02:46] 价格$0.00921403  流动性$217,139(峰值$217,139)  已存档300笔逐笔
[06:03:46] 价格$0.00917686  流动性$217,171(峰值$217,171)  已存档300笔逐笔
[06:04:46] 价格$0.00917686  流动性$217,171(峰值$217,171)  已存档300笔逐笔
[06:05:47] 价格$0.00926546  流动性$217,570(峰值$217,570)  已存档300笔逐笔  操盘方卖出比例=0.1%
[06:06:48] 价格$0.00929092  流动性$217,514(峰值$217,570)  已存档300笔逐笔
[06:07:48] 价格$0.00930939  流动性$218,308(峰值$218,308)  已存档300笔逐笔
[06:08:49] 价格$0.00930939  流动性$218,308(峰值$218,308)  已存档300笔逐笔
[06:09:50] 价格$0.00934871  流动性$218,790(峰值$218,790)  已存档300笔逐笔
[06:10:50] 价格$0.00934871  流动性$218,790(峰值$218,790)  已存档300笔逐笔  操盘方卖出比例=0.1%
[06:11:50] 价格$0.00938065  流动性$219,041(峰值$219,041)  已存档300笔逐笔
[06:12:51] 价格$0.00938065  流动性$219,041(峰值$219,041)  已存档300笔逐笔
[06:13:51] 价格$0.00942594  流动性$219,600(峰值$219,600)  已存档300笔逐笔
