[02:04:40] === Ag8EHXHZ 高密度崩盘取证监控启动 ===
[02:04:40] 基线: 价格$0.00012063 流动性$24,148
[02:05:41] 价格$0.00010604  流动性$23,191(峰值$24,148)  已存档300笔逐笔  操盘方卖出比例=41.9%
[02:06:41] 价格$0.00012237  流动性$23,027(峰值$24,148)  已存档300笔逐笔
[02:07:41] 价格$0.00011516  流动性$22,970(峰值$24,148)  已存档300笔逐笔
[02:08:41] 价格$0.00011217  流动性$22,758(峰值$24,148)  已存档300笔逐笔
[02:09:41] 价格$0.00011217  流动性$22,758(峰值$24,148)  已存档300笔逐笔
[02:10:42] 价格$0.00011322  流动性$22,257(峰值$24,148)  已存档300笔逐笔  操盘方卖出比例=88.3%
[02:11:42] 价格$0.00011700  流动性$23,953(峰值$24,148)  已存档300笔逐笔
[02:12:42] 价格$0.00011700  流动性$23,953(峰值$24,148)  已存档300笔逐笔
[02:13:43] 价格$0.00013480  流动性$25,102(峰值$25,102)  已存档300笔逐笔
[02:14:43] 价格$0.00013480  流动性$25,102(峰值$25,102)  已存档300笔逐笔
[02:15:43] 价格$0.00014444  流动性$23,324(峰值$25,102)  已存档300笔逐笔  操盘方卖出比例=68.3%
[02:16:44] 价格$0.00012486  流动性$24,853(峰值$25,102)  已存档300笔逐笔
[02:17:44] 价格$0.00012486  流动性$24,853(峰值$25,102)  已存档300笔逐笔
[02:18:44] 价格$0.00013232  流动性$24,230(峰值$25,102)  已存档300笔逐笔
[02:19:44] 价格$0.00011802  流动性$25,505(峰值$25,505)  已存档300笔逐笔
[02:20:45] 价格$0.00014228  流动性$25,842(峰值$25,842)  已存档300笔逐笔  操盘方卖出比例=100.0%
[02:21:45] 价格$0.00013350  流动性$24,175(峰值$25,842)  已存档300笔逐笔
[02:22:45] 价格$0.00013500  流动性$25,063(峰值$25,842)  已存档300笔逐笔
[02:23:45] 价格$0.00013500  流动性$25,063(峰值$25,842)  已存档300笔逐笔
[02:24:46] 价格$0.00013174  流动性$24,490(峰值$25,842)  已存档300笔逐笔
[02:25:46] 价格$0.00013174  流动性$24,490(峰值$25,842)  已存档300笔逐笔  操盘方卖出比例=91.5%
[02:26:47] 价格$0.00013125  流动性$25,040(峰值$25,842)  已存档300笔逐笔
[02:27:47] 价格$0.00013125  流动性$25,040(峰值$25,842)  已存档300笔逐笔
[02:28:47] 价格$0.00014604  流动性$23,435(峰值$25,842)  已存档300笔逐笔
[02:29:48] 价格$0.00015775  流动性$28,884(峰值$28,884)  已存档300笔逐笔
[02:30:48] 价格$0.00015653  流动性$28,166(峰值$28,884)  已存档300笔逐笔  操盘方卖出比例=85.4%
[02:31:48] 价格$0.00015730  流动性$27,635(峰值$28,884)  已存档300笔逐笔
[02:32:49] 价格$0.00015364  流动性$28,314(峰值$28,884)  已存档300笔逐笔
[02:33:49] 价格$0.00015364  流动性$28,314(峰值$28,884)  已存档300笔逐笔
[02:34:49] 价格$0.00018621  流动性$30,441(峰值$30,441)  已存档300笔逐笔
[02:35:50] 价格$0.00016910  流动性$28,200(峰值$30,441)  已存档300笔逐笔  操盘方卖出比例=64.3%
[02:36:50] 价格$0.00021670  流动性$33,543(峰值$33,543)  已存档300笔逐笔
[02:37:50] 价格$0.00020288  流动性$32,244(峰值$33,543)  已存档300笔逐笔
[02:38:51] 价格$0.00018750  流动性$30,957(峰值$33,543)  已存档300笔逐笔
[02:39:51] 价格$0.00015911  流动性$27,599(峰值$33,543)  已存档300笔逐笔
[02:40:52] 价格$0.00015911  流动性$27,599(峰值$33,543)  已存档300笔逐笔  操盘方卖出比例=99.9%
[02:41:52] 价格$0.00018640  流动性$30,943(峰值$33,543)  已存档300笔逐笔
[02:42:52] 价格$0.00021712  流动性$31,949(峰值$33,543)  已存档300笔逐笔
[02:43:52] 价格$0.00025166  流动性$34,889(峰值$34,889)  已存档300笔逐笔
[02:44:53] 价格$0.00025166  流动性$34,889(峰值$34,889)  已存档300笔逐笔
[02:45:53] 价格$0.00020217  流动性$31,659(峰值$34,889)  已存档300笔逐笔  操盘方卖出比例=100.0%
[02:46:53] 价格$0.00020217  流动性$31,659(峰值$34,889)  已存档300笔逐笔
[02:47:54] 价格$0.00023962  流动性$36,933(峰值$36,933)  已存档300笔逐笔
[02:48:54] 价格$0.00028221  流动性$37,271(峰值$37,271)  已存档300笔逐笔
[02:49:54] 价格$0.00028221  流动性$37,271(峰值$37,271)  已存档300笔逐笔
[02:50:54] 价格$0.00024646  流动性$34,836(峰值$37,271)  已存档300笔逐笔  操盘方卖出比例=99.8%
[02:51:55] 价格$0.00023891  流动性$34,883(峰值$37,271)  已存档300笔逐笔
[02:52:55] 价格$0.00023891  流动性$34,883(峰值$37,271)  已存档300笔逐笔
[02:53:55] 价格$0.00022208  流动性$33,509(峰值$37,271)  已存档300笔逐笔
[02:54:55] 价格$0.00022208  流动性$33,509(峰值$37,271)  已存档300笔逐笔
[02:55:56] 价格$0.00022079  流动性$33,760(峰值$37,271)  已存档300笔逐笔  操盘方卖出比例=100.0%
[02:56:56] 价格$0.00021960  流动性$33,875(峰值$37,271)  已存档300笔逐笔
[02:57:57] 价格$0.00023057  流动性$34,061(峰值$37,271)  已存档300笔逐笔
[02:58:57] 价格$0.00023057  流动性$34,061(峰值$37,271)  已存档300笔逐笔
[02:59:57] 价格$0.00021847  流动性$34,904(峰值$37,271)  已存档300笔逐笔
[03:00:58] 价格$0.00022081  流动性$33,376(峰值$37,271)  已存档300笔逐笔  操盘方卖出比例=100.0%
[03:01:58] 价格$0.00024483  流动性$35,504(峰值$37,271)  已存档300笔逐笔
[03:02:58] 价格$0.00024920  流动性$35,052(峰值$37,271)  已存档300笔逐笔
[03:03:58] 价格$0.00026379  流动性$36,282(峰值$37,271)  已存档300笔逐笔
[03:04:59] 价格$0.00027501  流动性$37,488(峰值$37,488)  已存档300笔逐笔
[03:06:00] 价格$0.00029245  流动性$39,040(峰值$39,040)  已存档300笔逐笔  操盘方卖出比例=100.0%
[03:07:00] 价格$0.00029245  流动性$39,040(峰值$39,040)  已存档300笔逐笔
[03:08:01] 价格$0.00030881  流动性$41,098(峰值$41,098)  已存档300笔逐笔
[03:09:03] 价格$0.00030881  流动性$41,098(峰值$41,098)  已存档300笔逐笔
[03:10:04] 价格$0.00027862  流动性$38,880(峰值$41,098)  已存档300笔逐笔
[03:11:05] 价格$0.00027862  流动性$38,880(峰值$41,098)  已存档300笔逐笔  操盘方卖出比例=100.0%
