[19:17:42] === BsA4JtGV 高密度崩盘取证监控启动 ===
[19:17:43] 基线: 价格$0.00008733 流动性$20,380
[19:18:43] 价格$0.00009933  流动性$21,548(峰值$21,548)  已存档300笔逐笔  操盘方卖出比例=15.1%
[19:19:44] 价格$0.00009555  流动性$20,298(峰值$21,548)  已存档158笔逐笔
[19:20:44] 价格$0.00009555  流动性$20,298(峰值$21,548)  已存档59笔逐笔
[19:21:44] 价格$0.00008397  流动性$18,436(峰值$21,548)  已存档96笔逐笔
[19:22:44] 价格$0.00008362  流动性$19,047(峰值$21,548)  已存档93笔逐笔
[19:23:44] 价格$0.00008362  流动性$19,047(峰值$21,548)  已存档51笔逐笔  操盘方卖出比例=86.4%
[19:24:44] 价格$0.00008234  流动性$19,118(峰值$21,548)  已存档94笔逐笔
[19:25:45] 价格$0.00009831  流动性$20,388(峰值$21,548)  已存档101笔逐笔
[19:26:45] 价格$0.00008686  流动性$20,401(峰值$21,548)  已存档51笔逐笔
[19:27:45] 价格$0.00008390  流动性$18,927(峰值$21,548)  已存档109笔逐笔
[19:28:45] 价格$0.00008390  流动性$18,927(峰值$21,548)  已存档104笔逐笔  操盘方卖出比例=88.4%
[19:29:45] 价格$0.00009098  流动性$21,608(峰值$21,608)  已存档0笔逐笔
[19:30:46] 价格$0.00007702  流动性$18,991(峰值$21,608)  已存档93笔逐笔
[19:31:46] 价格$0.00009421  流动性$20,613(峰值$21,608)  已存档139笔逐笔
[19:32:46] 价格$0.00008668  流动性$19,918(峰值$21,608)  已存档94笔逐笔
[19:33:47] 价格$0.00010560  流动性$20,749(峰值$21,608)  已存档53笔逐笔  操盘方卖出比例=86.6%
[19:34:47] 价格$0.00009357  流动性$20,132(峰值$21,608)  已存档47笔逐笔
[19:35:47] 价格$0.00009546  流动性$21,650(峰值$21,650)  已存档104笔逐笔
[19:36:47] 价格$0.00009810  流动性$20,880(峰值$21,650)  已存档96笔逐笔
[19:37:47] 价格$0.00009810  流动性$20,880(峰值$21,650)  已存档84笔逐笔
[19:38:48] 价格$0.00011196  流动性$22,987(峰值$22,987)  已存档0笔逐笔  操盘方卖出比例=100.0%
[19:39:48] 价格$0.00010562  流动性$22,472(峰值$22,987)  已存档202笔逐笔
[19:40:48] 价格$0.00010562  流动性$22,472(峰值$22,987)  已存档69笔逐笔
[19:41:49] 价格$0.00010684  流动性$21,438(峰值$22,987)  已存档161笔逐笔
[19:42:49] 价格$0.00009401  流动性$21,074(峰值$22,987)  已存档63笔逐笔
[19:43:49] 价格$0.00010277  流动性$22,611(峰值$22,987)  已存档110笔逐笔  操盘方卖出比例=100.0%
[19:44:49] 价格$0.00011324  流动性$22,434(峰值$22,987)  已存档47笔逐笔
[19:45:50] 价格$0.00009196  流动性$23,099(峰值$23,099)  已存档147笔逐笔
[19:46:50] 价格$0.00010231  流动性$21,804(峰值$23,099)  已存档60笔逐笔
[19:47:51] 价格$0.00009952  流动性$22,885(峰值$23,099)  已存档262笔逐笔
[19:48:51] 价格$0.00010765  流动性$21,390(峰值$23,099)  已存档76笔逐笔  操盘方卖出比例=100.0%
[19:49:52] 价格$0.00014043  流动性$26,597(峰值$26,597)  已存档138笔逐笔
[19:50:52] 价格$0.00014456  流动性$26,499(峰值$26,597)  已存档174笔逐笔
[19:51:52] 价格$0.00014456  流动性$26,499(峰值$26,597)  已存档77笔逐笔
[19:52:53] 价格$0.00011583  流动性$25,447(峰值$26,597)  已存档88笔逐笔
[19:53:53] 价格$0.00012258  流动性$23,695(峰值$26,597)  已存档227笔逐笔  操盘方卖出比例=100.0%
[19:54:53] 价格$0.00010639  流动性$22,864(峰值$26,597)  已存档83笔逐笔
[19:55:53] 价格$0.00010639  流动性$22,864(峰值$26,597)  已存档140笔逐笔
[19:56:54] 价格$0.00011664  流动性$23,362(峰值$26,597)  已存档158笔逐笔
[19:57:54] 价格$0.00012830  流动性$24,515(峰值$26,597)  已存档67笔逐笔
[19:58:55] 价格$0.00011164  流动性$22,088(峰值$26,597)  已存档160笔逐笔  操盘方卖出比例=100.0%
[19:59:55] 价格$0.00011517  流动性$23,910(峰值$26,597)  已存档153笔逐笔
[20:00:55] 价格$0.00011268  流动性$23,788(峰值$26,597)  已存档67笔逐笔
[20:01:56] 价格$0.00012692  流动性$25,399(峰值$26,597)  已存档158笔逐笔
[20:02:56] 价格$0.00012692  流动性$25,399(峰值$26,597)  已存档147笔逐笔
[20:03:56] 价格$0.00012098  流动性$24,423(峰值$26,597)  已存档64笔逐笔  操盘方卖出比例=100.0%
[20:04:56] 价格$0.00011008  流动性$24,574(峰值$26,597)  已存档154笔逐笔
[20:05:57] 价格$0.00011092  流动性$22,869(峰值$26,597)  已存档176笔逐笔
[20:06:57] 价格$0.00011092  流动性$22,869(峰值$26,597)  已存档174笔逐笔
[20:07:57] 价格$0.00013761  流动性$28,137(峰值$28,137)  已存档203笔逐笔
[20:08:58] 价格$0.00009816  流动性$26,424(峰值$28,137)  已存档105笔逐笔  操盘方卖出比例=100.0%
[20:09:58] 价格$0.00009816  流动性$26,424(峰值$28,137)  已存档95笔逐笔
[20:10:58] 价格$0.00008497  流动性$21,175(峰值$28,137)  已存档243笔逐笔
[20:11:58] 价格$0.00009877  流动性$21,598(峰值$28,137)  已存档0笔逐笔
[20:12:58] 价格$0.00010639  流动性$22,755(峰值$28,137)  已存档173笔逐笔
[20:13:59] 价格$0.00010639  流动性$22,755(峰值$28,137)  已存档126笔逐笔  操盘方卖出比例=100.0%
[20:15:00] 价格$0.00010495  流动性$24,560(峰值$28,137)  已存档232笔逐笔
[20:16:00] 价格$0.00011558  流动性$23,397(峰值$28,137)  已存档54笔逐笔
[20:17:00] 价格$0.00011558  流动性$23,397(峰值$28,137)  已存档155笔逐笔
