[11:32:57] === C7hLaqtP 高密度崩盘取证监控启动 ===
[11:32:58] 基线: 价格$0.01700704 流动性$294,212
[11:33:59] 价格$0.01827791  流动性$305,501(峰值$305,501)  已存档300笔逐笔  操盘方卖出比例=0.0%
[11:34:59] 价格$0.01893266  流动性$312,385(峰值$312,385)  已存档242笔逐笔
[11:36:00] 价格$0.01974524  流动性$318,746(峰值$318,746)  已存档105笔逐笔
[11:37:00] 价格$0.02071252  流动性$325,919(峰值$325,919)  已存档84笔逐笔
[11:38:00] 价格$0.02170825  流动性$333,231(峰值$333,231)  已存档68笔逐笔
[11:39:00] 价格$0.02234843  流动性$339,149(峰值$339,149)  已存档144笔逐笔  操盘方卖出比例=0.0%
[11:40:01] 价格$0.02284080  流动性$342,626(峰值$342,626)  已存档117笔逐笔
[11:41:01] 价格$0.02367790  流动性$347,153(峰值$347,153)  已存档163笔逐笔
[11:42:01] 价格$0.02367790  流动性$347,153(峰值$347,153)  已存档56笔逐笔
[11:43:01] 价格$0.02490876  流动性$357,376(峰值$357,376)  已存档60笔逐笔
[11:44:02] 价格$0.02599479  流动性$364,711(峰值$364,711)  已存档222笔逐笔  操盘方卖出比例=0.0%
[11:45:02] 价格$0.02661637  流动性$369,424(峰值$369,424)  已存档136笔逐笔
[11:46:02] 价格$0.02716965  流动性$374,389(峰值$374,389)  已存档66笔逐笔
[11:47:03] 价格$0.02787028  流动性$378,123(峰值$378,123)  已存档138笔逐笔
[11:48:04] 价格$0.02827070  流动性$380,751(峰值$380,751)  已存档127笔逐笔
[11:49:04] 价格$0.02827070  流动性$380,751(峰值$380,751)  已存档83笔逐笔  操盘方卖出比例=0.0%
[11:50:04] 价格$0.02965853  流动性$390,770(峰值$390,770)  已存档110笔逐笔
[11:51:05] 价格$0.03035529  流动性$395,105(峰值$395,105)  已存档146笔逐笔
[11:52:05] 价格$0.03138580  流动性$401,052(峰值$401,052)  已存档86笔逐笔
[11:53:05] 价格$0.03224339  流动性$406,452(峰值$406,452)  已存档86笔逐笔
[11:54:06] 价格$0.03339755  流动性$413,455(峰值$413,455)  已存档132笔逐笔  操盘方卖出比例=0.0%
[11:55:06] 价格$0.03339755  流动性$413,455(峰值$413,455)  已存档163笔逐笔
[11:56:06] 价格$0.03517886  流动性$424,979(峰值$424,979)  已存档130笔逐笔
[11:57:06] 价格$0.03517886  流动性$424,979(峰值$424,979)  已存档152笔逐笔
[11:58:06] 价格$0.03692491  流动性$435,280(峰值$435,280)  已存档65笔逐笔
[11:59:07] 价格$0.03692491  流动性$435,280(峰值$435,280)  已存档65笔逐笔  操盘方卖出比例=0.0%
[12:00:07] 价格$0.03873797  流动性$446,573(峰值$446,573)  已存档234笔逐笔
[12:01:07] 价格$0.03975686  流动性$452,335(峰值$452,335)  已存档62笔逐笔
[12:02:07] 价格$0.04085580  流动性$456,659(峰值$456,659)  已存档63笔逐笔
[12:03:08] 价格$0.04176591  流动性$463,863(峰值$463,863)  已存档272笔逐笔
[12:04:08] 价格$0.04176591  流动性$463,863(峰值$463,863)  已存档98笔逐笔  操盘方卖出比例=0.0%
[12:05:08] 价格$0.04396484  流动性$477,268(峰值$477,268)  已存档74笔逐笔
[12:06:08] 价格$0.04536512  流动性$483,705(峰值$483,705)  已存档261笔逐笔
[12:07:09] 价格$0.04645090  流动性$488,743(峰值$488,743)  已存档89笔逐笔
[12:08:09] 价格$0.04645090  流动性$488,743(峰值$488,743)  已存档177笔逐笔
[12:09:09] 价格$0.04919742  流动性$503,142(峰值$503,142)  已存档171笔逐笔  操盘方卖出比例=0.1%
