[00:21:43] === 开始盯防14个已知操盘方钱包的卖出动作 ===
[00:22:54] *** 操盘方钱包卖出信号#1 *** 582gchwNGQ... 卖出$8.96 (tx=4HWozb2FZaBz...)
[00:24:52] *** 操盘方钱包卖出信号#2 *** HkhFdaHS2f... 卖出$116.34 (tx=27BEUsQkyDve...)
[00:24:52] *** 操盘方钱包卖出信号#3 *** HkhFdaHS2f... 卖出$173.66 (tx=3D2V1VxTSggt...)
[00:25:26] *** 操盘方钱包卖出信号#4 *** HkhFdaHS2f... 卖出$155.22 (tx=3tMkSo6zqD2A...)
[00:25:26] *** 操盘方钱包卖出信号#5 *** HkhFdaHS2f... 卖出$43.24 (tx=4jEBrwQrrNBJ...)
[00:25:26] *** 操盘方钱包卖出信号#6 *** HkhFdaHS2f... 卖出$160.24 (tx=46QxuEG2T5Cd...)
[00:25:26] *** 操盘方钱包卖出信号#7 *** HkhFdaHS2f... 卖出$150.03 (tx=3SzGYjxtQFga...)
[00:25:26] *** 操盘方钱包卖出信号#8 *** HkhFdaHS2f... 卖出$165.86 (tx=9aYtFgDtNCnX...)
[00:25:26] *** 操盘方钱包卖出信号#9 *** HkhFdaHS2f... 卖出$34.41 (tx=638LjfxDMU24...)
[00:25:26] *** 操盘方钱包卖出信号#10 *** HkhFdaHS2f... 卖出$175.65 (tx=31Qg6abkF5JX...)
[00:25:26] *** 操盘方钱包卖出信号#11 *** HkhFdaHS2f... 卖出$177.31 (tx=3YYKbHrJ2UW4...)
[00:25:26] *** 操盘方钱包卖出信号#12 *** HkhFdaHS2f... 卖出$150.23 (tx=zAXghpgRBWAE...)
[00:25:26] *** 操盘方钱包卖出信号#13 *** HkhFdaHS2f... 卖出$165.58 (tx=2Z4UaxYVgXYw...)
[00:25:26] *** 操盘方钱包卖出信号#14 *** HkhFdaHS2f... 卖出$126.63 (tx=2jspQ92Ly4PL...)
[00:26:42] *** 操盘方钱包卖出信号#15 *** HkhFdaHS2f... 卖出$162.31 (tx=54w7qeQnhvLi...)
[00:26:42] *** 操盘方钱包卖出信号#16 *** HkhFdaHS2f... 卖出$88.83 (tx=mkgWvVT64i9V...)
[00:26:42] *** 操盘方钱包卖出信号#17 *** HkhFdaHS2f... 卖出$124.11 (tx=buqMJLe4gfmt...)
[00:26:42] *** 操盘方钱包卖出信号#18 *** HkhFdaHS2f... 卖出$126.00 (tx=5FAu2T6hu6cD...)
[00:26:42] *** 操盘方钱包卖出信号#19 *** HkhFdaHS2f... 卖出$115.23 (tx=5GdeA6bYb5tE...)
[00:26:42] *** 操盘方钱包卖出信号#20 *** HkhFdaHS2f... 卖出$136.74 (tx=3aKEKenracCF...)
[00:26:42] *** 操盘方钱包卖出信号#21 *** HkhFdaHS2f... 卖出$135.99 (tx=3RkwJgrhSNRH...)
[00:26:42] *** 操盘方钱包卖出信号#22 *** HkhFdaHS2f... 卖出$135.22 (tx=4kHSuFmEsDkb...)
[00:27:50] *** 操盘方钱包卖出信号#23 *** HkhFdaHS2f... 卖出$118.11 (tx=4R1tictJ1Wr8...)
[00:27:50] *** 操盘方钱包卖出信号#24 *** HkhFdaHS2f... 卖出$132.56 (tx=2BpHDpk91c33...)
[00:27:50] *** 操盘方钱包卖出信号#25 *** HkhFdaHS2f... 卖出$139.41 (tx=3LUZYcaAX9Es...)
[00:27:50] *** 操盘方钱包卖出信号#26 *** HkhFdaHS2f... 卖出$112.37 (tx=5rRMuKcp6yjS...)
[00:27:50] *** 操盘方钱包卖出信号#27 *** HkhFdaHS2f... 卖出$143.43 (tx=3tjJuYUimabG...)
[00:27:50] *** 操盘方钱包卖出信号#28 *** HkhFdaHS2f... 卖出$145.91 (tx=2KAJs5uC2qha...)
[00:27:50] *** 操盘方钱包卖出信号#29 *** HkhFdaHS2f... 卖出$123.04 (tx=45C2kXyGwQ1n...)
[00:27:50] *** 操盘方钱包卖出信号#30 *** HkhFdaHS2f... 卖出$143.53 (tx=2XHEt58bmC5Q...)
[00:29:05] *** 操盘方钱包卖出信号#31 *** HkhFdaHS2f... 卖出$120.20 (tx=4FFdY3MZyyKP...)
[00:29:05] *** 操盘方钱包卖出信号#32 *** HkhFdaHS2f... 卖出$168.17 (tx=3QhxVuFGgG8u...)
[00:29:05] *** 操盘方钱包卖出信号#33 *** HkhFdaHS2f... 卖出$184.21 (tx=3zWDedxmYCNf...)
[00:29:05] *** 操盘方钱包卖出信号#34 *** HkhFdaHS2f... 卖出$148.57 (tx=66pA4qQ2qWD9...)
[00:29:05] *** 操盘方钱包卖出信号#35 *** HkhFdaHS2f... 卖出$120.69 (tx=3Dyhxv4kkgjK...)
