[11:38:46] === Cc419XtQ 高密度崩盘取证监控启动 ===
[11:38:46] 基线: 价格$0.00206886 流动性$102,141
[11:39:47] 价格$0.00207607  流动性$102,382(峰值$102,382)  已存档220笔逐笔  操盘方卖出比例=0.0%
[11:40:47] 价格$0.00207607  流动性$102,382(峰值$102,382)  已存档95笔逐笔
[11:41:48] 价格$0.00209616  流动性$102,846(峰值$102,846)  已存档83笔逐笔
[11:42:48] 价格$0.00211941  流动性$103,485(峰值$103,485)  已存档52笔逐笔
[11:43:49] 价格$0.00211941  流动性$103,485(峰值$103,485)  已存档39笔逐笔
[11:44:49] 价格$0.00215347  流动性$104,381(峰值$104,381)  已存档88笔逐笔  操盘方卖出比例=0.1%
[11:45:49] 价格$0.00217516  流动性$104,940(峰值$104,940)  已存档79笔逐笔
[11:46:49] 价格$0.00217516  流动性$104,940(峰值$104,940)  已存档80笔逐笔
[11:47:50] 价格$0.00220322  流动性$105,574(峰值$105,574)  已存档79笔逐笔
[11:48:50] 价格$0.00222340  流动性$106,171(峰值$106,171)  已存档40笔逐笔
[11:49:51] 价格$0.00223654  流动性$106,317(峰值$106,317)  已存档88笔逐笔  操盘方卖出比例=0.1%
[11:50:51] 价格$0.00223654  流动性$106,317(峰值$106,317)  已存档76笔逐笔
[11:51:51] 价格$0.00226832  流动性$107,246(峰值$107,246)  已存档0笔逐笔
[11:52:51] 价格$0.00228234  流动性$107,583(峰值$107,583)  已存档89笔逐笔
[11:53:51] 价格$0.00228294  流动性$107,459(峰值$107,583)  已存档119笔逐笔
[11:54:51] 价格$0.00229424  流动性$107,754(峰值$107,754)  已存档0笔逐笔  操盘方卖出比例=0.1%
[11:55:52] 价格$0.00230126  流动性$108,111(峰值$108,111)  已存档122笔逐笔
[11:56:52] 价格$0.00230126  流动性$108,111(峰值$108,111)  已存档76笔逐笔
[11:57:52] 价格$0.00230975  流动性$108,220(峰值$108,220)  已存档43笔逐笔
[11:58:52] 价格$0.00230975  流动性$108,220(峰值$108,220)  已存档78笔逐笔
[11:59:53] 价格$0.00234056  流动性$108,918(峰值$108,918)  已存档89笔逐笔  操盘方卖出比例=0.1%
[12:00:53] 价格$0.00234906  流动性$109,130(峰值$109,130)  已存档45笔逐笔
[12:01:53] 价格$0.00234906  流动性$109,130(峰值$109,130)  已存档71笔逐笔
[12:02:53] 价格$0.00237577  流动性$109,642(峰值$109,642)  已存档80笔逐笔
[12:03:54] 价格$0.00237063  流动性$109,833(峰值$109,833)  已存档0笔逐笔
[12:04:54] 价格$0.00237063  流动性$109,833(峰值$109,833)  已存档125笔逐笔  操盘方卖出比例=0.1%
[12:05:54] 价格$0.00239588  流动性$110,177(峰值$110,177)  已存档46笔逐笔
[12:06:54] 价格$0.00241120  流动性$110,495(峰值$110,495)  已存档76笔逐笔
[12:07:54] 价格$0.00241120  流动性$110,495(峰值$110,495)  已存档84笔逐笔
[12:08:55] 价格$0.00243506  流动性$111,035(峰值$111,035)  已存档79笔逐笔
