[20:11:42] === DEWaHCxy 高密度崩盘取证监控启动 ===
[20:11:42] 基线: 价格$0.00008196 流动性$18,959
[20:12:43] 价格$0.00005130  流动性$17,147(峰值$18,959)  已存档300笔逐笔  操盘方卖出比例=50.5%
[20:13:43] 价格$0.00007459  流动性$17,579(峰值$18,959)  已存档140笔逐笔
[20:14:43] 价格$0.00005526  流动性$20,058(峰值$20,058)  已存档102笔逐笔
[20:15:43] 价格$0.00008564  流动性$18,594(峰值$20,058)  已存档104笔逐笔
[20:16:43] 价格$0.00008564  流动性$18,594(峰值$20,058)  已存档96笔逐笔
[20:17:44] 价格$0.00008730  流动性$21,395(峰值$21,395)  已存档57笔逐笔  操盘方卖出比例=76.8%
[20:18:44] 价格$0.00008730  流动性$21,395(峰值$21,395)  已存档100笔逐笔
[20:19:44] 价格$0.00007346  流动性$16,805(峰值$21,395)  已存档107笔逐笔
[20:20:44] 价格$0.00009649  流动性$21,261(峰值$21,395)  已存档59笔逐笔
[20:21:44] 价格$0.00009649  流动性$21,261(峰值$21,395)  已存档43笔逐笔
[20:22:45] 价格$0.00014343  流动性$22,148(峰值$22,148)  已存档87笔逐笔  操盘方卖出比例=96.7%
[20:23:45] 价格$0.00013417  流动性$25,710(峰值$25,710)  已存档211笔逐笔
[20:24:45] 价格$0.00012436  流动性$25,711(峰值$25,711)  已存档187笔逐笔
[20:25:45] 价格$0.00011216  流动性$23,793(峰值$25,711)  已存档198笔逐笔
[20:26:46] 价格$0.00011464  流动性$21,256(峰值$25,711)  已存档79笔逐笔
[20:27:46] 价格$0.00012097  流动性$23,515(峰值$25,711)  已存档173笔逐笔  操盘方卖出比例=100.0%
[20:28:46] 价格$0.00013222  流动性$23,724(峰值$25,711)  已存档169笔逐笔
[20:29:46] 价格$0.00010138  流动性$23,362(峰值$25,711)  已存档105笔逐笔
[20:30:47] 价格$0.00010138  流动性$23,362(峰值$25,711)  已存档290笔逐笔
[20:31:48] 价格$0.00014855  流动性$27,349(峰值$27,349)  已存档84笔逐笔
[20:33:10] 价格$0.00015668  流动性$27,138(峰值$27,349)  已存档195笔逐笔  操盘方卖出比例=100.0%
[20:34:10] 价格$0.00017087  流动性$29,365(峰值$29,365)  已存档195笔逐笔
[20:35:10] 价格$0.00017087  流动性$29,365(峰值$29,365)  已存档178笔逐笔
[20:36:10] 价格$0.00016972  流动性$30,252(峰值$30,252)  已存档83笔逐笔
[20:37:10] 价格$0.00017675  流动性$29,106(峰值$30,252)  已存档110笔逐笔
[20:38:11] 价格$0.00014124  流动性$27,818(峰值$30,252)  已存档249笔逐笔  操盘方卖出比例=99.6%
[20:39:11] 价格$0.00014124  流动性$27,818(峰值$30,252)  已存档0笔逐笔
[20:40:11] 价格$0.00014927  流动性$26,663(峰值$30,252)  已存档197笔逐笔
[20:41:11] 价格$0.00016262  流动性$27,593(峰值$30,252)  已存档272笔逐笔
[20:42:11] 价格$0.00016262  流动性$27,593(峰值$30,252)  已存档95笔逐笔
[20:43:33] 价格$0.00015687  流动性$28,206(峰值$30,252)  已存档148笔逐笔  操盘方卖出比例=99.6%
[20:44:33] 价格$0.00016938  流动性$29,795(峰值$30,252)  已存档196笔逐笔
[20:45:34] 价格$0.00017521  流动性$27,791(峰值$30,252)  已存档183笔逐笔
[20:46:34] 价格$0.00017521  流动性$27,791(峰值$30,252)  已存档169笔逐笔
[20:47:34] 价格$0.00017979  流动性$29,710(峰值$30,252)  已存档108笔逐笔
[20:48:34] 价格$0.00019542  流动性$30,302(峰值$30,302)  已存档184笔逐笔  操盘方卖出比例=99.6%
[20:49:35] 价格$0.00020655  流动性$31,495(峰值$31,495)  已存档193笔逐笔
[20:50:35] 价格$0.00021886  流动性$32,381(峰值$32,381)  已存档79笔逐笔
[20:51:35] 价格$0.00021886  流动性$32,381(峰值$32,381)  已存档200笔逐笔
[20:52:35] 价格$0.00018630  流动性$31,378(峰值$32,381)  已存档185笔逐笔
[20:53:36] 价格$0.00016530  流动性$29,512(峰值$32,381)  已存档155笔逐笔  操盘方卖出比例=98.7%
[20:54:36] 价格$0.00018126  流动性$29,419(峰值$32,381)  已存档136笔逐笔
[20:55:36] 价格$0.00018126  流动性$29,419(峰值$32,381)  已存档175笔逐笔
[20:56:37] 价格$0.00020076  流动性$30,433(峰值$32,381)  已存档97笔逐笔
[20:57:37] 价格$0.00020076  流动性$30,433(峰值$32,381)  已存档177笔逐笔
[20:58:37] 价格$0.00021680  流动性$33,282(峰值$33,282)  已存档192笔逐笔  操盘方卖出比例=99.5%
[20:59:38] 价格$0.00021680  流动性$33,282(峰值$33,282)  已存档183笔逐笔
[21:00:38] 价格$0.00022341  流动性$34,224(峰值$34,224)  已存档79笔逐笔
[21:01:39] 价格$0.00021413  流动性$33,343(峰值$34,224)  已存档104笔逐笔
[21:02:39] 价格$0.00021413  流动性$33,343(峰值$34,224)  已存档150笔逐笔
[21:04:01] 价格$0.00020866  流动性$32,406(峰值$34,224)  已存档194笔逐笔  操盘方卖出比例=99.5%
[21:05:02] 价格$0.00020866  流动性$32,406(峰值$34,224)  已存档251笔逐笔
[21:06:02] 价格$0.00021919  流动性$32,474(峰值$34,224)  已存档73笔逐笔
[21:07:02] 价格$0.00019290  流动性$31,886(峰值$34,224)  已存档90笔逐笔
[21:08:03] 价格$0.00015304  流动性$28,827(峰值$34,224)  已存档281笔逐笔
