[23:16:22] === DskbsV4a 高密度崩盘取证监控启动 ===
[23:16:22] 基线: 价格$0.00000206 流动性$1,633
[23:17:23] 价格$0.00000206  流动性$1,633(峰值$1,633)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:18:24] 价格$0.00000206  流动性$1,633(峰值$1,633)  已存档84笔逐笔
[23:19:24] 价格$0.00000206  流动性$1,636(峰值$1,636)  已存档84笔逐笔
[23:20:25] 价格$0.00000206  流动性$1,636(峰值$1,636)  已存档84笔逐笔
[23:21:25] 价格$0.00000206  流动性$1,636(峰值$1,636)  已存档84笔逐笔
[23:22:25] 价格$0.00000206  流动性$1,636(峰值$1,636)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:23:26] 价格$0.00000206  流动性$1,636(峰值$1,636)  已存档84笔逐笔
[23:24:26] 价格$0.00000206  流动性$1,636(峰值$1,636)  已存档84笔逐笔
[23:25:26] 价格$0.00000206  流动性$1,638(峰值$1,638)  已存档84笔逐笔
[23:26:26] 价格$0.00000206  流动性$1,638(峰值$1,638)  已存档84笔逐笔
[23:27:27] 价格$0.00000206  流动性$1,638(峰值$1,638)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:28:27] 价格$0.00000206  流动性$1,638(峰值$1,638)  已存档84笔逐笔
[23:29:27] 价格$0.00000206  流动性$1,638(峰值$1,638)  已存档84笔逐笔
[23:30:28] 价格$0.00000206  流动性$1,638(峰值$1,638)  已存档84笔逐笔
[23:31:28] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔
[23:32:28] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:33:29] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔
[23:34:29] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔
[23:35:29] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔
[23:36:30] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔
[23:37:30] 价格$0.00000206  流动性$1,642(峰值$1,642)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:38:40] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:39:40] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:40:41] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:41:41] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:42:41] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:43:42] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:44:42] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:45:42] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:46:43] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:47:43] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:48:43] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:49:44] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[23:50:44] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[23:51:44] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[23:52:44] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:53:45] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[23:54:45] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[23:55:45] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[23:56:46] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:57:46] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔  操盘方卖出比例=100.0%
[23:58:46] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[23:59:46] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[00:00:47] 价格$0.00000206  流动性$1,643(峰值$1,643)  已存档84笔逐笔
[00:01:47] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[00:02:47] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔  操盘方卖出比例=100.0%
[00:03:48] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[00:04:48] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[00:05:49] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
[00:06:49] 价格$0.00000206  流动性$1,642(峰值$1,643)  已存档84笔逐笔
