[09:51:26] === DwMMGqbt 高密度崩盘取证监控启动 ===
[09:51:27] 基线: 价格$0.00214326 流动性$104,321
[09:52:27] 价格$0.00217583  流动性$105,259(峰值$105,259)  已存档300笔逐笔  操盘方卖出比例=32.3%
[09:53:27] 价格$0.00220317  流动性$105,833(峰值$105,833)  已存档268笔逐笔
[09:54:27] 价格$0.00220317  流动性$105,833(峰值$105,833)  已存档201笔逐笔
[09:55:28] 价格$0.00225349  流动性$107,076(峰值$107,076)  已存档73笔逐笔
[09:56:28] 价格$0.00225900  流动性$107,214(峰值$107,214)  已存档118笔逐笔
[09:57:28] 价格$0.00228036  流动性$107,746(峰值$107,746)  已存档201笔逐笔  操盘方卖出比例=4.1%
[09:58:28] 价格$0.00228624  流动性$107,877(峰值$107,877)  已存档22笔逐笔
[09:59:28] 价格$0.00230321  流动性$108,266(峰值$108,266)  已存档51笔逐笔
[10:00:28] 价格$0.00230321  流动性$108,266(峰值$108,266)  已存档20笔逐笔
[10:01:29] 价格$0.00232552  流动性$108,813(峰值$108,813)  已存档46笔逐笔
[10:02:29] 价格$0.00232552  流动性$108,813(峰值$108,813)  已存档43笔逐笔  操盘方卖出比例=4.0%
[10:03:29] 价格$0.00235233  流动性$109,552(峰值$109,552)  已存档50笔逐笔
[10:04:29] 价格$0.00235233  流动性$109,552(峰值$109,552)  已存档24笔逐笔
[10:05:29] 价格$0.00237151  流动性$109,912(峰值$109,912)  已存档23笔逐笔
[10:06:30] 价格$0.00238305  流动性$110,116(峰值$110,116)  已存档70笔逐笔
[10:07:30] 价格$0.00238305  流动性$110,116(峰值$110,116)  已存档0笔逐笔  操盘方卖出比例=5.3%
[10:08:30] 价格$0.00239668  流动性$110,543(峰值$110,543)  已存档67笔逐笔
[10:09:31] 价格$0.00239668  流动性$110,543(峰值$110,543)  已存档50笔逐笔
[10:10:31] 价格$0.00240940  流动性$110,216(峰值$110,543)  已存档0笔逐笔
[10:11:31] 价格$0.00241579  流动性$110,869(峰值$110,869)  已存档68笔逐笔
[10:12:31] 价格$0.00241579  流动性$110,869(峰值$110,869)  已存档46笔逐笔  操盘方卖出比例=6.2%
[10:13:31] 价格$0.00242952  流动性$111,318(峰值$111,318)  已存档0笔逐笔
[10:14:31] 价格$0.00242952  流动性$111,318(峰值$111,318)  已存档48笔逐笔
[10:15:32] 价格$0.00242848  流动性$111,164(峰值$111,318)  已存档63笔逐笔
[10:16:32] 价格$0.00243269  流动性$111,254(峰值$111,318)  已存档30笔逐笔
