[13:43:34] === EXvUUHSK 高密度崩盘取证监控启动 ===
[13:43:34] 基线: 价格$0.04149722 流动性$462,777
[13:44:35] 价格$0.04191149  流动性$464,944(峰值$464,944)  已存档300笔逐笔  操盘方卖出比例=0.0%
[13:45:35] 价格$0.04282164  流动性$469,311(峰值$469,311)  已存档187笔逐笔
[13:46:36] 价格$0.04439356  流动性$478,097(峰值$478,097)  已存档173笔逐笔
[13:47:37] 价格$0.04439356  流动性$478,097(峰值$478,097)  已存档211笔逐笔
[13:48:37] 价格$0.04639951  流动性$489,514(峰值$489,514)  已存档141笔逐笔
[13:49:37] 价格$0.04677439  流动性$490,599(峰值$490,599)  已存档66笔逐笔  操盘方卖出比例=0.0%
[13:50:38] 价格$0.04677439  流动性$490,599(峰值$490,599)  已存档280笔逐笔
[13:51:38] 价格$0.04750599  流动性$495,113(峰值$495,113)  已存档151笔逐笔
[13:52:38] 价格$0.04771768  流动性$496,143(峰值$496,143)  已存档177笔逐笔
[13:53:38] 价格$0.04771768  流动性$496,143(峰值$496,143)  已存档113笔逐笔
[13:54:39] 价格$0.04840795  流动性$499,189(峰值$499,189)  已存档220笔逐笔  操盘方卖出比例=0.1%
[13:55:39] 价格$0.04859131  流动性$500,812(峰值$500,812)  已存档192笔逐笔
[13:56:40] 价格$0.04900728  流动性$502,155(峰值$502,155)  已存档111笔逐笔
[13:57:40] 价格$0.04921468  流动性$503,907(峰值$503,907)  已存档178笔逐笔
[13:58:40] 价格$0.04965071  流动性$505,832(峰值$505,832)  已存档205笔逐笔
[13:59:40] 价格$0.04965071  流动性$505,832(峰值$505,832)  已存档219笔逐笔  操盘方卖出比例=0.1%
