[22:57:55] === EkuKhCFr 高密度崩盘取证监控启动 ===
[22:57:55] 基线: 价格$0.00003223 流动性$20,312
[22:58:56] 价格$0.00003225  流动性$20,379(峰值$20,379)  已存档29笔逐笔  操盘方卖出比例=0.0%
[22:59:56] 价格$0.00003227  流动性$20,378(峰值$20,379)  已存档30笔逐笔
[23:00:56] 价格$0.00003227  流动性$20,378(峰值$20,379)  已存档31笔逐笔
[23:01:56] 价格$0.00003247  流动性$20,438(峰值$20,438)  已存档32笔逐笔
[23:02:57] 价格$0.00003253  流动性$20,459(峰值$20,459)  已存档33笔逐笔
[23:03:57] 价格$0.00003253  流动性$20,459(峰值$20,459)  已存档35笔逐笔  操盘方卖出比例=0.0%
[23:04:58] 价格$0.00003256  流动性$20,459(峰值$20,459)  已存档35笔逐笔
[23:05:58] 价格$0.00003256  流动性$20,459(峰值$20,459)  已存档35笔逐笔
[23:06:58] 价格$0.00003271  流动性$20,526(峰值$20,526)  已存档38笔逐笔
[23:07:58] 价格$0.00003277  流动性$20,551(峰值$20,551)  已存档39笔逐笔
[23:08:59] 价格$0.00003279  流动性$20,548(峰值$20,551)  已存档40笔逐笔  操盘方卖出比例=0.0%
[23:09:59] 价格$0.00003279  流动性$20,548(峰值$20,551)  已存档41笔逐笔
[23:11:00] 价格$0.00003284  流动性$20,541(峰值$20,551)  已存档41笔逐笔
