[00:21:43] === FGEMZgLm 高密度崩盘取证监控启动 ===
[00:21:46] 基线: 价格$1.45377175 流动性$204,579
[00:22:47] 价格$1.45377175  流动性$204,579(峰值$204,579)  已存档300笔逐笔  操盘方卖出比例=20.1%
[00:23:47] 价格$1.64297900  流动性$217,775(峰值$217,775)  已存档300笔逐笔
[00:24:48] 价格$1.73722824  流动性$224,000(峰值$224,000)  已存档300笔逐笔
[00:25:49] 价格$1.73722824  流动性$224,000(峰值$224,000)  已存档300笔逐笔
[00:26:49] 价格$1.94199282  流动性$237,484(峰值$237,484)  已存档300笔逐笔
[00:27:50] 价格$1.96785082  流动性$240,614(峰值$240,614)  已存档300笔逐笔  操盘方卖出比例=20.3%
[00:28:50] 价格$1.99041964  流动性$242,014(峰值$242,014)  已存档300笔逐笔
[00:29:50] 价格$2.00956441  流动性$243,371(峰值$243,371)  已存档300笔逐笔
[00:30:51] 价格$2.03711588  流动性$244,786(峰值$244,786)  已存档300笔逐笔
[00:31:51] 价格$2.06306137  流动性$246,433(峰值$246,433)  已存档300笔逐笔
[00:32:51] 价格$2.06306137  流动性$246,433(峰值$246,433)  已存档300笔逐笔  操盘方卖出比例=20.3%
[00:33:52] 价格$2.10818431  流动性$249,088(峰值$249,088)  已存档300笔逐笔
[00:34:52] 价格$2.10818431  流动性$249,088(峰值$249,088)  已存档300笔逐笔
[00:35:52] 价格$2.15862792  流动性$251,908(峰值$251,908)  已存档300笔逐笔
[00:36:52] 价格$2.15862792  流动性$251,908(峰值$251,908)  已存档300笔逐笔
[00:37:53] 价格$2.21302588  流动性$255,161(峰值$255,161)  已存档300笔逐笔  操盘方卖出比例=20.0%
[00:38:53] 价格$2.24090362  流动性$256,690(峰值$256,690)  已存档300笔逐笔
[00:39:53] 价格$2.24090362  流动性$256,690(峰值$256,690)  已存档300笔逐笔
[00:40:53] 价格$2.29763218  流动性$260,091(峰值$260,091)  已存档300笔逐笔
[00:41:54] 价格$2.32173857  流动性$261,360(峰值$261,360)  已存档300笔逐笔
[00:42:54] 价格$2.35369735  流动性$263,032(峰值$263,032)  已存档300笔逐笔  操盘方卖出比例=19.9%
[00:43:54] 价格$2.37829858  流动性$264,475(峰值$264,475)  已存档300笔逐笔
[00:44:55] 价格$2.39716675  流动性$265,483(峰值$265,483)  已存档300笔逐笔
[00:45:55] 价格$2.43101608  流动性$267,402(峰值$267,402)  已存档300笔逐笔
[00:46:55] 价格$2.43101608  流动性$267,402(峰值$267,402)  已存档300笔逐笔
[00:47:56] 价格$2.49178766  流动性$270,748(峰值$270,748)  已存档300笔逐笔  操盘方卖出比例=19.8%
[00:48:56] 价格$2.49178766  流动性$270,748(峰值$270,748)  已存档300笔逐笔
[00:49:56] 价格$2.53728682  流动性$272,969(峰值$272,969)  已存档300笔逐笔
[00:50:57] 价格$2.55956381  流动性$274,380(峰值$274,380)  已存档300笔逐笔
[00:51:57] 价格$2.58273787  流动性$275,860(峰值$275,860)  已存档300笔逐笔
[00:52:58] 价格$2.58273787  流动性$275,860(峰值$275,860)  已存档300笔逐笔  操盘方卖出比例=19.8%
[00:53:58] 价格$2.64458924  流动性$278,900(峰值$278,900)  已存档300笔逐笔
[00:54:59] 价格$2.67982868  流动性$280,886(峰值$280,886)  已存档300笔逐笔
[00:55:59] 价格$2.70567231  流动性$282,217(峰值$282,217)  已存档300笔逐笔
[00:57:00] 价格$2.73575676  流动性$283,690(峰值$283,690)  已存档300笔逐笔
[00:58:01] 价格$2.76534194  流动性$285,602(峰值$285,602)  已存档300笔逐笔  操盘方卖出比例=19.8%
[00:59:01] 价格$2.79295352  流动性$286,473(峰值$286,473)  已存档300笔逐笔
[01:00:02] 价格$2.83075871  流动性$288,945(峰值$288,945)  已存档300笔逐笔
[01:01:02] 价格$2.86808647  流动性$290,839(峰值$290,839)  已存档300笔逐笔
[01:02:03] 价格$2.90858283  流动性$292,982(峰值$292,982)  已存档300笔逐笔
[01:03:03] 价格$2.94038360  流动性$294,253(峰值$294,253)  已存档300笔逐笔  操盘方卖出比例=19.7%
[01:04:03] 价格$2.94038360  流动性$294,253(峰值$294,253)  已存档300笔逐笔
[01:05:04] 价格$3.00447730  流动性$297,731(峰值$297,731)  已存档300笔逐笔
