[09:25:34] 价格$0.02005011  流动性$320,615(峰值$320,615)  已存档0笔逐笔
[09:26:34] 价格$0.02036292  流动性$323,733(峰值$323,733)  已存档105笔逐笔
[09:27:34] 价格$0.02049525  流动性$324,605(峰值$324,605)  已存档101笔逐笔
[09:28:35] 价格$0.02061496  流动性$325,557(峰值$325,557)  已存档153笔逐笔
[09:29:35] 价格$0.02062146  流动性$326,305(峰值$326,305)  已存档57笔逐笔  操盘方卖出比例=0.0%
[09:30:35] 价格$0.02082090  流动性$327,310(峰值$327,310)  已存档105笔逐笔
[09:31:36] 价格$0.02082090  流动性$327,310(峰值$327,310)  已存档101笔逐笔
[09:32:36] 价格$0.02116445  流动性$330,283(峰值$330,283)  已存档62笔逐笔
[09:33:36] 价格$0.02130205  流动性$331,587(峰值$331,587)  已存档96笔逐笔
[09:34:37] 价格$0.02139550  流动性$331,808(峰值$331,808)  已存档98笔逐笔  操盘方卖出比例=0.0%
[09:35:37] 价格$0.02162315  流动性$334,046(峰值$334,046)  已存档67笔逐笔
[09:36:38] 价格$0.02179412  流动性$335,711(峰值$335,711)  已存档46笔逐笔
[09:37:38] 价格$0.02179412  流动性$335,711(峰值$335,711)  已存档104笔逐笔
[09:38:38] 价格$0.02204908  流动性$337,397(峰值$337,397)  已存档113笔逐笔
[09:39:38] 价格$0.02224716  流动性$338,985(峰值$338,985)  已存档89笔逐笔  操盘方卖出比例=0.0%
[09:40:39] 价格$0.02224716  流动性$338,985(峰值$338,985)  已存档97笔逐笔
[09:41:39] 价格$0.02256916  流动性$341,356(峰值$341,356)  已存档64笔逐笔
[09:42:39] 价格$0.02277921  流动性$343,015(峰值$343,015)  已存档96笔逐笔
[09:43:40] 价格$0.02277921  流动性$343,015(峰值$343,015)  已存档105笔逐笔
[09:44:40] 价格$0.02309343  流动性$345,457(峰值$345,457)  已存档0笔逐笔  操盘方卖出比例=0.0%
[09:45:41] 价格$0.02321502  流动性$346,603(峰值$346,603)  已存档101笔逐笔
[09:46:41] 价格$0.02321502  流动性$346,603(峰值$346,603)  已存档159笔逐笔
[09:47:41] 价格$0.02359705  流动性$349,581(峰值$349,581)  已存档58笔逐笔
[09:48:41] 价格$0.02359705  流动性$349,581(峰值$349,581)  已存档102笔逐笔
[09:49:41] 价格$0.02389164  流动性$352,131(峰值$352,131)  已存档92笔逐笔  操盘方卖出比例=0.0%
[09:50:42] 价格$0.02405009  流动性$351,991(峰值$352,131)  已存档53笔逐笔
[09:51:42] 价格$0.02405009  流动性$351,991(峰值$352,131)  已存档114笔逐笔
[09:52:42] 价格$0.02459331  流动性$356,812(峰值$356,812)  已存档57笔逐笔
[09:53:42] 价格$0.02459331  流动性$356,812(峰值$356,812)  已存档96笔逐笔
[09:54:42] 价格$0.02477000  流动性$358,212(峰值$358,212)  已存档44笔逐笔  操盘方卖出比例=0.0%
[09:55:43] 价格$0.02484713  流动性$359,166(峰值$359,166)  已存档134笔逐笔
[09:56:43] 价格$0.02489071  流动性$359,152(峰值$359,166)  已存档38笔逐笔
[09:57:43] 价格$0.02489071  流动性$359,152(峰值$359,166)  已存档89笔逐笔
[09:58:43] 价格$0.00000136  流动性$1,725(峰值$359,166)  已存档300笔逐笔
[09:58:43] *** 流动性暴跌,疑似崩盘发生! 立刻加密取证 ***
[09:58:43] 崩盘时刻快照: 价格$0.00000136 流动性$1,725 操盘方卖出比例=0.9999887904992266
[09:58:43] === 监控结束(崩盘=是) ===
