[21:27:33] === H4E9QFQH 高密度崩盘取证监控启动 ===
[21:27:33] 基线: 价格$0.06906565 流动性$598,164
[21:28:34] 价格$0.07054252  流动性$604,502(峰值$604,502)  已存档300笔逐笔  操盘方卖出比例=0.0%
[21:29:34] 价格$0.07166192  流动性$609,105(峰值$609,105)  已存档111笔逐笔
[21:30:35] 价格$0.07243945  流动性$613,448(峰值$613,448)  已存档104笔逐笔
[21:31:35] 价格$0.07310472  流动性$616,714(峰值$616,714)  已存档0笔逐笔
[21:32:36] 价格$0.07427245  流动性$620,068(峰值$620,068)  已存档178笔逐笔
[21:33:37] 价格$0.07502565  流动性$622,339(峰值$622,339)  已存档119笔逐笔  操盘方卖出比例=0.0%
[21:34:37] 价格$0.07502565  流动性$622,339(峰值$622,339)  已存档59笔逐笔
[21:35:37] 价格$0.07689284  流动性$630,659(峰值$630,659)  已存档126笔逐笔
[21:36:37] 价格$0.07792446  流动性$635,858(峰值$635,858)  已存档112笔逐笔
[21:37:38] 价格$0.07855871  流动性$639,002(峰值$639,002)  已存档57笔逐笔
[21:38:38] 价格$0.07967912  流动性$642,475(峰值$642,475)  已存档117笔逐笔  操盘方卖出比例=0.0%
[21:39:38] 价格$0.08057467  流动性$646,185(峰值$646,185)  已存档107笔逐笔
[21:40:38] 价格$0.08057467  流动性$646,185(峰值$646,185)  已存档0笔逐笔
[21:41:38] 价格$0.08271886  流动性$655,707(峰值$655,707)  已存档186笔逐笔
[21:42:39] 价格$0.08387627  流动性$660,209(峰值$660,209)  已存档104笔逐笔
[21:43:39] 价格$0.08425343  流动性$664,125(峰值$664,125)  已存档63笔逐笔  操盘方卖出比例=0.0%
[21:44:39] 价格$0.08425343  流动性$664,125(峰值$664,125)  已存档104笔逐笔
[21:45:40] 价格$0.08741852  流动性$674,368(峰值$674,368)  已存档127笔逐笔
[21:46:40] 价格$0.08835491  流动性$678,551(峰值$678,551)  已存档53笔逐笔
[21:47:40] 价格$0.08835491  流动性$678,551(峰值$678,551)  已存档49笔逐笔
[21:48:42] 价格$0.09020841  流动性$687,146(峰值$687,146)  已存档181笔逐笔  操盘方卖出比例=1.9%
[21:49:42] 价格$0.09150009  流动性$688,276(峰值$688,276)  已存档71笔逐笔
[21:50:42] 价格$0.09150009  流动性$688,276(峰值$688,276)  已存档50笔逐笔
[21:51:42] 价格$0.09351344  流动性$698,630(峰值$698,630)  已存档170笔逐笔
[21:52:42] 价格$0.09457788  流动性$703,983(峰值$703,983)  已存档66笔逐笔
[21:53:43] 价格$0.09595194  流动性$707,810(峰值$707,810)  已存档107笔逐笔  操盘方卖出比例=0.0%
[21:54:43] 价格$0.09710852  流动性$707,931(峰值$707,931)  已存档128笔逐笔
[21:55:43] 价格$0.09710852  流动性$707,931(峰值$707,931)  已存档40笔逐笔
[21:56:43] 价格$0.09878194  流动性$719,188(峰值$719,188)  已存档138笔逐笔
[21:57:43] 价格$0.09878194  流动性$719,188(峰值$719,188)  已存档84笔逐笔
[21:58:44] 价格$0.09968268  流动性$722,970(峰值$722,970)  已存档84笔逐笔  操盘方卖出比例=0.0%
[21:59:44] 价格$0.09968268  流动性$722,970(峰值$722,970)  已存档82笔逐笔
[22:00:44] 价格$0.10060807  流动性$725,696(峰值$725,696)  已存档44笔逐笔
[22:01:44] 价格$0.10060807  流动性$725,696(峰值$725,696)  已存档75笔逐笔
[22:02:45] 价格$0.10085262  流动性$728,265(峰值$728,265)  已存档50笔逐笔
[22:03:45] 价格$0.10085262  流动性$728,265(峰值$728,265)  已存档300笔逐笔  操盘方卖出比例=0.0%
[22:04:45] 价格$0.10292682  流动性$732,975(峰值$732,975)  已存档300笔逐笔
[22:05:45] 价格$0.10383228  流动性$735,630(峰值$735,630)  已存档300笔逐笔
[22:06:45] 价格$0.10469848  流动性$739,613(峰值$739,613)  已存档50笔逐笔
[22:07:46] 价格$0.10590137  流动性$742,879(峰值$742,879)  已存档76笔逐笔
