[05:49:38] === H68hDbEJ 高密度崩盘取证监控启动 ===
[05:49:39] 基线: 价格$0.00003152 流动性$24,522
[05:50:40] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔  操盘方卖出比例=100.0%
[05:51:40] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:52:40] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:53:40] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:54:41] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:55:41] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔  操盘方卖出比例=100.0%
[05:56:42] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:57:42] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:58:42] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[05:59:43] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[06:00:43] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔  操盘方卖出比例=100.0%
[06:01:43] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[06:02:44] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
[06:03:44] 价格$0.00003152  流动性$24,522(峰值$24,522)  已存档178笔逐笔
