[02:27:41] === HeCwx2Vq 高密度崩盘取证监控启动 ===
[02:27:42] 基线: 价格$1.87932270 流动性$128,920
[02:28:43] 价格$1.94556546  流动性$130,677(峰值$130,677)  已存档299笔逐笔  卖出比例=查不到
[02:29:44] 价格$2.01525417  流动性$132,956(峰值$132,956)  已存档300笔逐笔
[02:30:44] 价格$2.07839415  流动性$135,187(峰值$135,187)  已存档300笔逐笔
[02:31:45] 价格$2.14892473  流动性$137,098(峰值$137,098)  已存档300笔逐笔
[02:32:46] 价格$2.21677106  流动性$139,801(峰值$139,801)  已存档300笔逐笔
[02:33:47] 价格$2.21677106  流动性$139,801(峰值$139,801)  已存档300笔逐笔  卖出比例=查不到
[02:34:48] 价格$2.36291509  流动性$144,159(峰值$144,159)  已存档300笔逐笔
[02:35:49] 价格$2.36291509  流动性$144,159(峰值$144,159)  已存档300笔逐笔
[02:36:50] 价格$2.50836622  流动性$148,544(峰值$148,544)  已存档300笔逐笔
[02:37:51] 价格$2.58790819  流动性$151,017(峰值$151,017)  已存档300笔逐笔
[02:38:52] 价格$2.58790819  流动性$151,017(峰值$151,017)  已存档300笔逐笔  卖出比例=查不到
[02:39:53] 价格$2.73850190  流动性$155,430(峰值$155,430)  已存档300笔逐笔
[02:40:54] 价格$2.73850190  流动性$155,430(峰值$155,430)  已存档300笔逐笔
[02:41:55] 价格$2.89148725  流动性$159,781(峰值$159,781)  已存档300笔逐笔
[02:42:56] 价格$2.96895943  流动性$161,544(峰值$161,544)  已存档300笔逐笔
[02:43:57] 价格$2.96895943  流动性$161,544(峰值$161,544)  已存档300笔逐笔  卖出比例=查不到
[02:44:59] 价格$3.13230840  流动性$166,115(峰值$166,115)  已存档300笔逐笔
[02:46:00] 价格$3.21572898  流动性$168,412(峰值$168,412)  已存档300笔逐笔
[02:47:01] 价格$3.29380590  流动性$169,896(峰值$169,896)  已存档300笔逐笔
[02:48:01] 价格$3.29380590  流动性$169,896(峰值$169,896)  已存档300笔逐笔
[02:49:03] 价格$3.45068826  流动性$174,432(峰值$174,432)  已存档300笔逐笔  卖出比例=查不到
[02:50:03] 价格$3.52754754  流动性$176,194(峰值$176,194)  已存档300笔逐笔
[02:51:04] 价格$3.52754754  流动性$176,194(峰值$176,194)  已存档300笔逐笔
[02:52:05] 价格$3.71437098  流动性$180,351(峰值$180,351)  已存档300笔逐笔
[02:53:06] 价格$3.71437098  流动性$180,351(峰值$180,351)  已存档300笔逐笔
[02:54:07] 价格$3.91071601  流动性$185,504(峰值$185,504)  已存档300笔逐笔  卖出比例=查不到
[02:55:08] 价格$3.99305431  流动性$187,730(峰值$187,730)  已存档300笔逐笔
[02:56:09] 价格$4.07710999  流动性$189,539(峰值$189,539)  已存档300笔逐笔
[02:57:09] 价格$4.07710999  流动性$189,539(峰值$189,539)  已存档300笔逐笔
[02:58:10] 价格$4.25160939  流动性$193,890(峰值$193,890)  已存档300笔逐笔
[02:59:11] 价格$4.35439711  流动性$195,941(峰值$195,941)  已存档300笔逐笔  卖出比例=查不到
[03:00:12] 价格$4.35439711  流动性$195,941(峰值$195,941)  已存档300笔逐笔
[03:01:13] 价格$4.52764105  流动性$199,303(峰值$199,303)  已存档300笔逐笔
[03:02:14] 价格$4.77429989  流动性$203,894(峰值$203,894)  已存档300笔逐笔
[03:03:15] 价格$4.77429989  流动性$203,894(峰值$203,894)  已存档300笔逐笔
[03:04:16] 价格$5.42377203  流动性$216,750(峰值$216,750)  已存档300笔逐笔  卖出比例=查不到
[03:05:17] 价格$5.42377203  流动性$216,750(峰值$216,750)  已存档300笔逐笔
[03:06:17] 价格$6.07359878  流动性$230,837(峰值$230,837)  已存档300笔逐笔
[03:07:18] 价格$6.36424616  流动性$236,512(峰值$236,512)  已存档300笔逐笔
[03:08:19] 价格$6.49777181  流动性$239,392(峰值$239,392)  已存档300笔逐笔
[03:09:20] 价格$6.61400236  流动性$241,502(峰值$241,502)  已存档300笔逐笔  卖出比例=查不到
[03:10:21] 价格$6.73248489  流动性$243,359(峰值$243,359)  已存档300笔逐笔
[03:11:22] 价格$6.84038650  流动性$245,630(峰值$245,630)  已存档300笔逐笔
