[18:28:40] === HoamtRRj 高密度崩盘取证监控启动 ===
[18:28:40] 基线: 价格$0.00007638 流动性$68,721
[18:29:41] 价格$0.00007638  流动性$68,721(峰值$68,721)  已存档300笔逐笔  操盘方卖出比例=84.8%
[18:30:41] 价格$0.00007638  流动性$68,721(峰值$68,721)  已存档0笔逐笔
[18:31:41] 价格$0.00007638  流动性$68,890(峰值$68,890)  已存档0笔逐笔
[18:32:41] 价格$0.00007638  流动性$68,890(峰值$68,890)  已存档0笔逐笔
[18:33:42] 价格$0.00007638  流动性$68,890(峰值$68,890)  已存档0笔逐笔
[18:34:43] 价格$0.00007638  流动性$68,890(峰值$68,890)  已存档0笔逐笔  操盘方卖出比例=84.8%
[18:35:43] 价格$0.00007638  流动性$68,890(峰值$68,890)  已存档0笔逐笔
[18:36:43] 价格$0.00007638  流动性$68,890(峰值$68,890)  已存档0笔逐笔
[18:37:43] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔
[18:38:44] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔
[18:39:44] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔  操盘方卖出比例=84.8%
[18:40:44] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔
[18:41:45] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔
[18:42:45] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔
[18:43:46] 价格$0.00007638  流动性$68,585(峰值$68,890)  已存档0笔逐笔
[18:44:46] 价格$0.00007638  流动性$69,003(峰值$69,003)  已存档0笔逐笔  操盘方卖出比例=84.8%
[18:45:46] 价格$0.00007638  流动性$69,003(峰值$69,003)  已存档0笔逐笔
[18:46:46] 价格$0.00007638  流动性$69,003(峰值$69,003)  已存档0笔逐笔
[18:47:47] 价格$0.00007638  流动性$69,003(峰值$69,003)  已存档0笔逐笔
[18:48:47] 价格$0.00007638  流动性$69,003(峰值$69,003)  已存档0笔逐笔
[18:49:47] 价格$0.00007638  流动性$69,003(峰值$69,003)  已存档0笔逐笔  操盘方卖出比例=84.8%
[18:50:48] 价格$0.00007638  流动性$69,007(峰值$69,007)  已存档0笔逐笔
[18:51:48] 价格$0.00007638  流动性$69,007(峰值$69,007)  已存档0笔逐笔
[18:52:48] 价格$0.00007638  流动性$69,007(峰值$69,007)  已存档0笔逐笔
[18:53:49] 价格$0.00007638  流动性$69,007(峰值$69,007)  已存档0笔逐笔
