[16:42:58] === 开始监控 TNOS / SOL (jLVprkYrvz...) ===
[16:42:59] 已知操盘方钱包(bundler/transfer_in/creator/dev_team标签): 40个
[16:42:59] 检测条件: 单笔买入>=$50 且钱包不在上面这个名单里 -> 判定疑似真买家
[16:42:59] 每10秒查一次最新成交,最长跑33分钟
[16:42:59] 提醒: 报警不代表来得及反应,只是尽量缩短感知延迟,自己判断要不要动作
[16:43:31] *** 疑似真买家信号#1 *** 钱包GgEv8kXZo3... 买入$162.34 (不在已知操盘方名单里,tx=4cpfjwu3zJNX...)
[16:43:31] *** 疑似真买家信号#2 *** 钱包9KHyCtRGmS... 买入$90.23 (不在已知操盘方名单里,tx=5n1ghsuWPUch...)
[16:43:31] *** 疑似真买家信号#3 *** 钱包9wNCCDnbmU... 买入$86.46 (不在已知操盘方名单里,tx=5mK5uaScXmLA...)
[16:44:49] *** 疑似真买家信号#4 *** 钱包AuRoLgLPgQ... 买入$313.73 (不在已知操盘方名单里,tx=32nchSphbvXZ...)
[16:44:49] *** 疑似真买家信号#5 *** 钱包NtPJtiZgqZ... 买入$79.53 (不在已知操盘方名单里,tx=2ReM1b3Bckv3...)
[16:44:49] *** 疑似真买家信号#6 *** 钱包3M9b5WED72... 买入$185.43 (不在已知操盘方名单里,tx=4PiFpV2BvcFK...)
[16:44:49] *** 疑似真买家信号#7 *** 钱包3ATM56ssvx... 买入$118.80 (不在已知操盘方名单里,tx=5DsYyMqM51k6...)
[16:46:03] *** 疑似真买家信号#8 *** 钱包CbAXNBkSJu... 买入$148.67 (不在已知操盘方名单里,tx=vA92PTzpJDJu...)
[16:46:03] *** 疑似真买家信号#9 *** 钱包HAXsVrwNDV... 买入$51.88 (不在已知操盘方名单里,tx=2S8s8SBAPMAG...)
[16:46:03] *** 疑似真买家信号#10 *** 钱包CM8E1itkVs... 买入$58.29 (不在已知操盘方名单里,tx=62jwuxkjmSpJ...)
[16:46:03] *** 疑似真买家信号#11 *** 钱包EiSHpucJYM... 买入$139.40 (不在已知操盘方名单里,tx=27W5L5vRAKMz...)
[16:46:03] *** 疑似真买家信号#12 *** 钱包3ATM56ssvx... 买入$352.51 (不在已知操盘方名单里,tx=3aS9ahsKyuET...)
[16:46:03] *** 疑似真买家信号#13 *** 钱包5cTnbx5i35... 买入$198.64 (不在已知操盘方名单里,tx=4vmRe638LY4f...)
[16:46:03] *** 疑似真买家信号#14 *** 钱包cw5hDsKAVK... 买入$80.50 (不在已知操盘方名单里,tx=5pocSPGdX3DW...)
[16:46:03] *** 疑似真买家信号#15 *** 钱包3MeJGgkSkd... 买入$129.02 (不在已知操盘方名单里,tx=2MD2nAoqNHfq...)
[16:47:51] *** 疑似真买家信号#16 *** 钱包BbRJEcmK4Z... 买入$87.49 (不在已知操盘方名单里,tx=2Tvwx1UzorGV...)
[16:47:51] *** 疑似真买家信号#17 *** 钱包AJd8XpgcHY... 买入$103.86 (不在已知操盘方名单里,tx=46w3un9bC1Pj...)
[16:47:51] *** 疑似真买家信号#18 *** 钱包6C1uUFPYZd... 买入$322.70 (不在已知操盘方名单里,tx=4PkYuF31AJb7...)
[16:47:51] *** 疑似真买家信号#19 *** 钱包9vkAna7w6V... 买入$81.43 (不在已知操盘方名单里,tx=4ijMAVmpveRV...)
[16:47:51] *** 疑似真买家信号#20 *** 钱包3NvffQDWwd... 买入$213.36 (不在已知操盘方名单里,tx=5BFhYkphbWUZ...)
[16:47:51] *** 疑似真买家信号#21 *** 钱包7aCiu7rSsT... 买入$141.21 (不在已知操盘方名单里,tx=4gNfG3tNoR9c...)
[16:48:25] *** 疑似真买家信号#22 *** 钱包ESq5AMFHdm... 买入$149.65 (不在已知操盘方名单里,tx=4Y7DPMw3DepC...)
[16:48:25] *** 疑似真买家信号#23 *** 钱包CLFvQFc7GV... 买入$156.55 (不在已知操盘方名单里,tx=4DG2XKqb3znC...)
[16:48:25] *** 疑似真买家信号#24 *** 钱包BPSZCeLmVW... 买入$133.50 (不在已知操盘方名单里,tx=2mmDKRCf1deZ...)
[16:48:25] *** 疑似真买家信号#25 *** 钱包TpF3bpjsq7... 买入$229.62 (不在已知操盘方名单里,tx=61Wa1Ttch89k...)
[16:49:03] *** 疑似真买家信号#26 *** 钱包4fm65RkNac... 买入$98.31 (不在已知操盘方名单里,tx=3bFi7N4L67MM...)
[16:49:03] *** 疑似真买家信号#27 *** 钱包7SYJSJCEPm... 买入$169.81 (不在已知操盘方名单里,tx=5WfzVvLr6uST...)
[16:49:03] *** 疑似真买家信号#28 *** 钱包4sHywZn28R... 买入$139.13 (不在已知操盘方名单里,tx=j1SyxzoFMBon...)
[16:49:37] *** 疑似真买家信号#29 *** 钱包27rpumT1V7... 买入$223.26 (不在已知操盘方名单里,tx=4bwPHN32zutP...)
[16:49:37] *** 疑似真买家信号#30 *** 钱包6uKwNo5AyB... 买入$218.01 (不在已知操盘方名单里,tx=5CGRWYsyCghb...)
[16:50:50] *** 疑似真买家信号#31 *** 钱包8im9kA4P4W... 买入$314.46 (不在已知操盘方名单里,tx=4cx7eR6oZKkU...)
[16:50:50] *** 疑似真买家信号#32 *** 钱包EQNiCy2yCG... 买入$99.49 (不在已知操盘方名单里,tx=8SQdR5S1gGv5...)
[16:50:50] *** 疑似真买家信号#33 *** 钱包HnFDakMhjs... 买入$86.94 (不在已知操盘方名单里,tx=1zP2arJsv6Rg...)
[16:50:50] *** 疑似真买家信号#34 *** 钱包DcnDdUEN2K... 买入$194.69 (不在已知操盘方名单里,tx=36NWAJJufWnK...)
[16:50:50] *** 疑似真买家信号#35 *** 钱包GmSFWTsCzV... 买入$183.04 (不在已知操盘方名单里,tx=3pBXMu6W9eAX...)
[16:50:50] *** 疑似真买家信号#36 *** 钱包9KHyCtRGmS... 买入$93.85 (不在已知操盘方名单里,tx=4nXZQPjEgrtR...)
[16:50:50] *** 疑似真买家信号#37 *** 钱包8YTMMMSY3X... 买入$322.69 (不在已知操盘方名单里,tx=6uCMFAodBXRG...)
[16:51:24] *** 疑似真买家信号#38 *** 钱包HzVsDYkD4U... 买入$87.07 (不在已知操盘方名单里,tx=jN9SijjRiY1y...)
[16:51:24] *** 疑似真买家信号#39 *** 钱包A27dERqDhU... 买入$227.82 (不在已知操盘方名单里,tx=2erR8ihSc4jG...)
[16:52:02] *** 疑似真买家信号#40 *** 钱包6Y2pqp2zXf... 买入$217.94 (不在已知操盘方名单里,tx=5DKoyYZfoMSw...)
[16:52:02] *** 疑似真买家信号#41 *** 钱包2kJfcyqLb2... 买入$164.96 (不在已知操盘方名单里,tx=5JtsLvXfoY1C...)
[16:52:02] *** 疑似真买家信号#42 *** 钱包Ez3H3ku2Bx... 买入$142.92 (不在已知操盘方名单里,tx=3BBk8fxWDjHX...)
[16:52:02] *** 疑似真买家信号#43 *** 钱包8WveH5cr8c... 买入$228.48 (不在已知操盘方名单里,tx=3UUtVydXs8zv...)
[16:52:39] *** 疑似真买家信号#44 *** 钱包59uPCDCNrV... 买入$210.00 (不在已知操盘方名单里,tx=2MjCsYaThAFf...)
[16:52:39] *** 疑似真买家信号#45 *** 钱包iy9uiYQUXj... 买入$143.30 (不在已知操盘方名单里,tx=3ivnnpCmJUVa...)
[16:52:39] *** 疑似真买家信号#46 *** 钱包5vxmwDZLjU... 买入$114.61 (不在已知操盘方名单里,tx=46armp6QxneF...)
[16:52:39] *** 疑似真买家信号#47 *** 钱包EH8CW2WvdZ... 买入$196.78 (不在已知操盘方名单里,tx=29KyVCTzTVuA...)
[16:52:39] *** 疑似真买家信号#48 *** 钱包5UKe2Wdh8o... 买入$185.57 (不在已知操盘方名单里,tx=5HVkoKR2h3ba...)
[16:53:50] *** 疑似真买家信号#49 *** 钱包EGW5fJrskU... 买入$149.89 (不在已知操盘方名单里,tx=2E4v8X4qufra...)
[16:53:50] *** 疑似真买家信号#50 *** 钱包611u4HPSV7... 买入$99.48 (不在已知操盘方名单里,tx=4uP5Gs5A1rAz...)
[16:53:50] *** 疑似真买家信号#51 *** 钱包EtESXQrpZy... 买入$130.77 (不在已知操盘方名单里,tx=4QeCu6xmbCo3...)
[16:53:50] *** 疑似真买家信号#52 *** 钱包9JQR8hVZ8Y... 买入$168.32 (不在已知操盘方名单里,tx=SqttC8Jaf3qz...)
