[21:46:29] === tnos2 高密度崩盘取证监控启动 ===
[21:46:29] 基线: 价格$0.02256679 流动性$340,553
[21:47:31] 价格$0.02256679  流动性$340,553(峰值$340,553)  已存档300笔逐笔  操盘方卖出比例=15.0%
[21:48:31] 价格$0.02315466  流动性$344,783(峰值$344,783)  已存档300笔逐笔
[21:49:31] 价格$0.02339232  流动性$345,860(峰值$345,860)  已存档300笔逐笔
[21:50:32] 价格$0.02359150  流动性$347,481(峰值$347,481)  已存档300笔逐笔
[21:51:33] 价格$0.02371929  流动性$349,527(峰值$349,527)  已存档300笔逐笔
[21:52:33] 价格$0.02371929  流动性$349,527(峰值$349,527)  已存档300笔逐笔  操盘方卖出比例=15.6%
[21:53:34] 价格$0.02434930  流动性$353,423(峰值$353,423)  已存档300笔逐笔
[21:54:34] 价格$0.02434930  流动性$353,423(峰值$353,423)  已存档300笔逐笔
[21:55:34] 价格$0.02496228  流动性$357,373(峰值$357,373)  已存档300笔逐笔
[21:56:35] 价格$0.02523688  流动性$360,321(峰值$360,321)  已存档300笔逐笔
[21:57:35] 价格$0.02535039  流动性$361,552(峰值$361,552)  已存档300笔逐笔  操盘方卖出比例=16.5%
[21:58:35] 价格$0.02535039  流动性$361,552(峰值$361,552)  已存档300笔逐笔
[21:59:36] 价格$0.02604007  流动性$365,850(峰值$365,850)  已存档300笔逐笔
[22:00:36] 价格$0.02627753  流动性$368,176(峰值$368,176)  已存档300笔逐笔
[22:01:36] 价格$0.02627753  流动性$368,176(峰值$368,176)  已存档300笔逐笔
[22:02:37] 价格$0.02684926  流动性$371,429(峰值$371,429)  已存档300笔逐笔  操盘方卖出比例=16.8%
[22:03:37] 价格$0.02696420  流动性$372,717(峰值$372,717)  已存档300笔逐笔
[22:04:38] 价格$0.02710660  流动性$373,715(峰值$373,715)  已存档300笔逐笔
[22:05:38] 价格$0.02727316  流动性$374,792(峰值$374,792)  已存档300笔逐笔
[22:06:38] 价格$0.02727316  流动性$374,792(峰值$374,792)  已存档300笔逐笔
[22:07:39] 价格$0.02757419  流动性$376,833(峰值$376,833)  已存档300笔逐笔  操盘方卖出比例=17.0%
[22:08:39] 价格$0.02757419  流动性$376,833(峰值$376,833)  已存档300笔逐笔
[22:09:40] 价格$0.02800377  流动性$379,841(峰值$379,841)  已存档300笔逐笔
[22:10:40] 价格$0.02811777  流动性$380,893(峰值$380,893)  已存档300笔逐笔
[22:11:40] 价格$0.02836591  流动性$382,107(峰值$382,107)  已存档300笔逐笔
[22:12:41] 价格$0.02849231  流动性$383,546(峰值$383,546)  已存档300笔逐笔  操盘方卖出比例=17.3%
[22:13:41] 价格$0.02849231  流动性$383,546(峰值$383,546)  已存档300笔逐笔
[22:14:42] 价格$0.02834328  流动性$383,555(峰值$383,555)  已存档300笔逐笔
[22:15:42] 价格$0.02834328  流动性$383,555(峰值$383,555)  已存档300笔逐笔
[22:16:42] 价格$0.02832251  流动性$383,177(峰值$383,555)  已存档300笔逐笔
[22:17:43] 价格$0.02832251  流动性$383,177(峰值$383,555)  已存档300笔逐笔  操盘方卖出比例=17.3%
[22:18:43] 价格$0.02846755  流动性$382,157(峰值$383,555)  已存档300笔逐笔
[22:19:44] 价格$0.02846382  流动性$382,931(峰值$383,555)  已存档300笔逐笔
[22:20:45] 价格$0.02846382  流动性$382,931(峰值$383,555)  已存档300笔逐笔
[22:21:45] 价格$0.02848708  流动性$383,036(峰值$383,555)  已存档300笔逐笔
[22:22:46] 价格$0.02852238  流动性$382,430(峰值$383,555)  已存档300笔逐笔  操盘方卖出比例=17.3%
[22:23:46] 价格$0.02852238  流动性$382,430(峰值$383,555)  已存档300笔逐笔
[22:24:47] 价格$0.02845943  流动性$384,103(峰值$384,103)  已存档300笔逐笔
[22:25:47] 价格$0.02861880  流动性$384,360(峰值$384,360)  已存档300笔逐笔
