[19:59:47] === TNOS高密度崩盘取证监控启动 ===
[19:59:47] 基线: 价格$0.04581593 流动性$487,708
[20:00:49] 价格$0.04588692  流动性$488,276(峰值$488,276)  已存档300笔逐笔  操盘方卖出比例=7.1%
[20:01:50] 价格$0.04598312  流动性$488,743(峰值$488,743)  已存档300笔逐笔
[20:02:50] 价格$0.04600171  流动性$489,482(峰值$489,482)  已存档300笔逐笔
[20:03:51] 价格$0.04600171  流动性$489,482(峰值$489,482)  已存档300笔逐笔
[20:04:51] 价格$0.04644126  流动性$491,700(峰值$491,700)  已存档300笔逐笔
[20:05:51] 价格$0.04664368  流动性$490,791(峰值$491,700)  已存档300笔逐笔  操盘方卖出比例=7.1%
[20:06:52] 价格$0.04665422  流动性$492,839(峰值$492,839)  已存档300笔逐笔
[20:07:52] 价格$0.04665422  流动性$492,839(峰值$492,839)  已存档300笔逐笔
[20:08:53] 价格$0.04710732  流动性$494,532(峰值$494,532)  已存档300笔逐笔
[20:09:53] 价格$0.04704499  流动性$496,656(峰值$496,656)  已存档300笔逐笔
[20:10:53] 价格$0.04746190  流动性$497,409(峰值$497,409)  已存档300笔逐笔  操盘方卖出比例=7.1%
[20:11:54] 价格$0.04752257  流动性$498,357(峰值$498,357)  已存档300笔逐笔
[20:12:54] 价格$0.04788738  流动性$499,775(峰值$499,775)  已存档300笔逐笔
[20:13:55] 价格$0.04788738  流动性$499,775(峰值$499,775)  已存档300笔逐笔
[20:14:55] 价格$0.04818928  流动性$500,965(峰值$500,965)  已存档300笔逐笔
[20:15:56] 价格$0.04832315  流动性$500,388(峰值$500,965)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:16:56] 价格$0.04832315  流动性$500,388(峰值$500,965)  已存档300笔逐笔
[20:17:56] 价格$0.04849779  流动性$503,486(峰值$503,486)  已存档300笔逐笔
[20:18:57] 价格$0.04859844  流动性$502,155(峰值$503,486)  已存档300笔逐笔
[20:19:57] 价格$0.04859844  流动性$502,155(峰值$503,486)  已存档300笔逐笔
[20:20:58] 价格$0.04852862  流动性$502,591(峰值$503,486)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:21:58] 价格$0.04972689  流动性$507,318(峰值$507,318)  已存档300笔逐笔
[20:23:00] 价格$0.04950698  流动性$507,974(峰值$507,974)  已存档300笔逐笔
[20:24:00] 价格$0.04950698  流动性$507,974(峰值$507,974)  已存档300笔逐笔
[20:25:00] 价格$0.04953949  流动性$507,944(峰值$507,974)  已存档300笔逐笔
[20:26:02] 价格$0.04953949  流动性$507,944(峰值$507,974)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:27:02] 价格$0.04963524  流动性$509,156(峰值$509,156)  已存档300笔逐笔
[20:28:03] 价格$0.04980043  流动性$510,053(峰值$510,053)  已存档300笔逐笔
[20:29:03] 价格$0.04987807  流动性$509,013(峰值$510,053)  已存档300笔逐笔
[20:30:03] 价格$0.05017325  流动性$510,410(峰值$510,410)  已存档300笔逐笔
[20:31:04] 价格$0.05017325  流动性$510,410(峰值$510,410)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:32:04] 价格$0.05030270  流动性$510,375(峰值$510,410)  已存档300笔逐笔
[20:33:05] 价格$0.05030270  流动性$510,375(峰值$510,410)  已存档300笔逐笔
[20:34:05] 价格$0.05076036  流动性$512,238(峰值$512,238)  已存档300笔逐笔
[20:35:05] 价格$0.05076036  流动性$512,238(峰值$512,238)  已存档300笔逐笔
[20:36:06] 价格$0.05050627  流动性$513,118(峰值$513,118)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:37:06] 价格$0.05117311  流动性$515,202(峰值$515,202)  已存档300笔逐笔
[20:38:06] 价格$0.05129640  流动性$516,322(峰值$516,322)  已存档300笔逐笔
[20:39:07] 价格$0.05129640  流动性$516,322(峰值$516,322)  已存档300笔逐笔
[20:40:07] 价格$0.05094109  流动性$513,778(峰值$516,322)  已存档300笔逐笔
[20:41:08] 价格$0.05089423  流动性$515,906(峰值$516,322)  已存档300笔逐笔  操盘方卖出比例=7.1%
[20:42:08] 价格$0.05089423  流动性$515,906(峰值$516,322)  已存档300笔逐笔
[20:43:08] 价格$0.05167826  流动性$516,713(峰值$516,713)  已存档300笔逐笔
[20:44:08] 价格$0.05159220  流动性$516,455(峰值$516,713)  已存档300笔逐笔
[20:45:09] 价格$0.05175125  流动性$518,476(峰值$518,476)  已存档300笔逐笔
[20:46:09] 价格$0.05175125  流动性$518,476(峰值$518,476)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:47:10] 价格$0.05218815  流动性$519,678(峰值$519,678)  已存档300笔逐笔
[20:48:10] 价格$0.05230266  流动性$520,063(峰值$520,063)  已存档300笔逐笔
[20:49:10] 价格$0.05230266  流动性$520,063(峰值$520,063)  已存档300笔逐笔
[20:50:11] 价格$0.05268714  流动性$520,490(峰值$520,490)  已存档300笔逐笔
[20:51:11] 价格$0.05293919  流动性$521,572(峰值$521,572)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:52:12] 价格$0.05270014  流动性$521,852(峰值$521,852)  已存档300笔逐笔
[20:53:13] 价格$0.05298839  流动性$524,000(峰值$524,000)  已存档300笔逐笔
[20:54:13] 价格$0.05320189  流动性$525,111(峰值$525,111)  已存档300笔逐笔
[20:55:14] 价格$0.05320189  流动性$525,111(峰值$525,111)  已存档300笔逐笔
[20:56:15] 价格$0.05330845  流动性$526,409(峰值$526,409)  已存档300笔逐笔  操盘方卖出比例=7.0%
[20:57:15] 价格$0.05380201  流动性$526,991(峰值$526,991)  已存档300笔逐笔
[20:58:15] 价格$0.05362255  流动性$528,191(峰值$528,191)  已存档300笔逐笔
[20:59:16] 价格$0.05365686  流动性$528,772(峰值$528,772)  已存档300笔逐笔
[21:00:16] 价格$0.05365686  流动性$528,772(峰值$528,772)  已存档300笔逐笔
[21:00:16] === 监控结束(崩盘=否,本段时间内仍存活) ===
[21:00:43] === TNOS高密度崩盘取证监控启动 ===
[21:00:44] 基线: 价格$0.05365686 流动性$528,772
[21:01:44] 价格$0.05411881  流动性$529,033(峰值$529,033)  已存档300笔逐笔  操盘方卖出比例=6.9%
[21:02:45] 价格$0.05444335  流动性$530,761(峰值$530,761)  已存档300笔逐笔
[21:03:45] 价格$0.05431685  流动性$531,556(峰值$531,556)  已存档300笔逐笔
[21:04:46] 价格$0.05471900  流动性$532,059(峰值$532,059)  已存档300笔逐笔
[21:05:47] 价格$0.05452526  流动性$532,150(峰值$532,150)  已存档300笔逐笔
[21:06:47] 价格$0.05463996  流动性$532,290(峰值$532,290)  已存档300笔逐笔  操盘方卖出比例=6.8%
[21:07:48] 价格$0.05516974  流动性$531,373(峰值$532,290)  已存档300笔逐笔
[21:08:49] 价格$0.05516974  流动性$531,373(峰值$532,290)  已存档300笔逐笔
[21:09:50] 价格$0.05547956  流动性$537,242(峰值$537,242)  已存档300笔逐笔
[21:10:50] 价格$0.05547956  流动性$537,242(峰值$537,242)  已存档300笔逐笔
[21:11:51] 价格$0.05579312  流动性$537,117(峰值$537,242)  已存档300笔逐笔  操盘方卖出比例=7.0%
[21:12:51] 价格$0.05620182  流动性$537,219(峰值$537,242)  已存档300笔逐笔
[21:13:52] 价格$0.05620182  流动性$537,219(峰值$537,242)  已存档300笔逐笔
[21:14:53] 价格$0.05606065  流动性$540,430(峰值$540,430)  已存档300笔逐笔
[21:15:54] 价格$0.05626081  流动性$539,707(峰值$540,430)  已存档300笔逐笔
[21:16:54] 价格$0.05658487  流动性$541,353(峰值$541,353)  已存档300笔逐笔  操盘方卖出比例=7.0%
[21:17:54] 价格$0.05658487  流动性$541,353(峰值$541,353)  已存档300笔逐笔
[21:18:55] 价格$0.05674099  流动性$541,819(峰值$541,819)  已存档300笔逐笔
[21:19:55] 价格$0.05712838  流动性$544,027(峰值$544,027)  已存档300笔逐笔
[21:20:56] 价格$0.05725218  流动性$544,439(峰值$544,439)  已存档300笔逐笔
[21:21:57] 价格$0.05694959  流动性$543,955(峰值$544,439)  已存档300笔逐笔  操盘方卖出比例=7.0%
[21:22:57] 价格$0.05694959  流动性$543,955(峰值$544,439)  已存档300笔逐笔
[21:23:58] 价格$0.05750816  流动性$547,411(峰值$547,411)  已存档300笔逐笔
[21:24:58] 价格$0.05751244  流动性$547,634(峰值$547,634)  已存档300笔逐笔
[21:25:58] 价格$0.05751244  流动性$547,634(峰值$547,634)  已存档300笔逐笔
[21:26:59] 价格$0.05830363  流动性$548,794(峰值$548,794)  已存档300笔逐笔  操盘方卖出比例=7.1%
[21:27:59] 价格$0.05853299  流动性$551,481(峰值$551,481)  已存档300笔逐笔
[21:29:00] 价格$0.00108513  流动性$81,833(峰值$551,481)  已存档300笔逐笔
[21:29:00] *** 流动性暴跌,疑似崩盘发生! 立刻加密取证 ***
[21:29:00] 崩盘时刻快照: 价格$0.00108513 流动性$81,833 操盘方卖出比例=0.26307018869196097
[21:29:00] === 监控结束(崩盘=是) ===
